analyte	SAT_1	SAT_10	SAT_11	SAT_12	SAT_13	SAT_14	SAT_15	SAT_16	SAT_17	SAT_18	SAT_19	SAT_2	SAT_20	SAT_21	SAT_22	SAT_23	SAT_24	SAT_25	SAT_26	SAT_27	SAT_28	SAT_29	SAT_3	SAT_30	SAT_31	SAT_32	SAT_33	SAT_34	SAT_35	SAT_36	SAT_38	SAT_39	SAT_4	SAT_40	SAT_41	SAT_42	SAT_43	SAT_45	SAT_46	SAT_47	SAT_48	SAT_49	SAT_5	SAT_50	SAT_51	SAT_52	SAT_53	SAT_54	SAT_55	SAT_56	SAT_57	SAT_58	SAT_59	SAT_6	SAT_7	SAT_8	SAT_9	VAT__1	VAT__10	VAT__11	VAT__12	VAT__13	VAT__16	VAT__17	VAT__18	VAT__19	VAT__2	VAT__20	VAT__21	VAT__23	VAT__24	VAT__25	VAT__26	VAT__27	VAT__29	VAT__3	VAT__30	VAT__31	VAT__32	VAT__33	VAT__35	VAT__36	VAT__37	VAT__4	VAT__40	VAT__41	VAT__42	VAT__44	VAT__45	VAT__46	VAT__47	VAT__48	VAT__49	VAT__5	VAT__52	VAT__53	VAT__54	VAT__55	VAT__56	VAT__57	VAT__58	VAT__59	VAT__6	VAT__7	VAT__8	VAT__9
palmitoleic acid	1103.7736	574.2188	716.4179	1658.9674	2809.0564	1494.4169	2844.0397	1545.8015	601.6598	1028.3934	10643.299	688.459	3000	1509.3296	1474.359	3038.0159	2026.696	3375.268	563.2012	2529.4737	473.535	2489.7751	2074.2025	794.1176	8663.8478	1512.7119	1421.6824	3122.543	16607.0758	8973.7762	9495.8678	4120.7243	948.7179	3163.8492	3878.9298	5426.7857	11639.0977	7201.8133	5049.2013	7605.0824	1745	3680	565.8174	1274.7212	14231.8798	7735.3119	1189.6226	2338.9513	4035.6415	2634.7656	4040.0994	5216.5605	20061.8695	1478.7879	1075.4717	1540.795	4334.2003	2585.0388	2118.1208	831.3367	1001.5704	2528.3505	3127.7728	919.5402	2822.4414	1719.6292	4122.1532	2455.2846	1761.6511	1084.0081	646.9194	5033.2876	988.2943	2931.3205	343.3396	548.8902	1831.0157	11586.2069	1905.303	6104.765	3154.5624	25133.4623	593.0532	3873.6486	8132.8767	2852.2514	775.5359	557.2848	1707.9545	6290.4656	1833.3333	2798.5225	22428.7749	977.9807	1000	1240.4427	1310.4449	3262.0666	4105.3846	3594.1097	1448.1481	3563.6303	1646.1825	764.2064	2992.283	6054.1922
p-cresol	45045.283	29745.7933	36120.0814	34115.8288	34866.6878	31209.6774	40072.8477	39899.8092	36698.1328	39370.8449	29671.134	32880.9206	35931.9508	37657.5674	40349.1124	43855.1774	33548.3668	40563.2595	40450.6358	36989.4737	37507.5614	36759.7137	36267.337	36809.9802	40281.1839	39508.4746	39127.2661	37711.9165	36301.5028	41864.6853	46794.4215	41049.2958	41689.1026	38817.6203	36041.1371	37321.0714	42079.9727	31857.6226	36528.115	35342.7198	37657	49854.2857	41493.6306	41060.9665	34518.5622	36238.0376	31847.1698	31530.8989	35286.1507	38096.6797	39918.7367	30788.2166	39479.1527	35215.1515	41500	36329.4979	36500.3251	41354.2696	37258.3893	33626.1034	33006.5955	35640.4639	52389.5297	24505.7471	35043.7731	34618.9258	35087.9917	36907.5203	35299.9334	39397.7733	40145.7346	38436.8565	36413.3779	36033.8421	33932.4578	32641.8716	32136.6384	57021.2982	35906.25	33660.9008	36078.2123	36288.2012	49056.175	39527.027	39191.0959	52162.2889	34679.6974	40018.2119	58075.5682	45280.4878	33852.9412	37931.1618	57792.0228	61730.3974	42316.1926	35490.9457	35569.6325	34427.6003	42057.6923	38423.155	31415.7407	37277.9638	31291.4339	38632.5931	33552.7331	39983.6401
pelargonic acid	1096.9811	6298.3774	11122.7951	1589.6739	4342.3053	8137.4069	1718.543	6506.6794	9254.1494	6693.9058	3741.2371	3681.4543	2574.2061	3279.8894	1606.5089	8026.7922	8925.5653	2799.4996	1296.9334	3260	1415.879	2033.7423	5375.8669	2953.4038	1612.0507	9899.3644	4440.174	1398.6486	1564.809	1055.2448	2099.1736	1797.7867	1755.3419	1614.1092	7924.4147	4973.5714	1627.136	1507.0517	1430.0319	1413.4615	9379	9628.5714	7641.189	3285.5019	1704.1839	2808.298	1819.8113	2592.6966	1793.279	8347.6562	9657.9134	4180.8917	8609.6167	4954.5455	1051.3627	4585.7741	5533.8101	2217.7135	11407.047	4537.831	1215.4523	3506.4433	6274.1792	2351.5326	4321.5166	8170.3964	9043.4783	12770.3252	7587.8828	3751.0121	11809.2417	2008.5793	1490.9699	5762.1102	2874.2964	10422.6155	2765.1149	1970.0811	3446.0227	13841.7102	1354.7486	1212.766	2400.5146	1622.6351	2059.9315	8590.5253	5009.773	1624.1722	2052.2727	1422.3947	1456.8627	9203.4923	19519.943	10773.899	10250.547	3190.1408	2424.5648	3764.7859	11591.5385	5923.8321	1890.7407	4977.2271	7953.4451	916.0679	2547.5884	4408.998
pentadecanoic acid	2652.4528	896.0337	990.1628	1516.3043	1102.9132	1812.6551	1228.8079	3313.9313	1130.7054	1823.0609	1535.0515	2529.6865	1644.8477	3086.0401	1517.7515	1677.0456	1011.9347	2334.1673	1264.3979	3307.3684	1015.1229	1341.5133	1797.5035	1154.9901	3174.4186	4110.1695	1795.8666	1843.6732	5776.4559	4740.2098	1924.5868	1468.8129	1512.8205	2279.2588	1682.6087	3271.0714	2467.8742	2367.3606	2687.5399	2596.1538	2291	4268.5714	985.138	1444.2379	1936.6529	3654.149	819.8113	1602.9963	1849.2872	715.8203	2115.33	3305.7325	3457.9691	1619.1919	1644.6541	1367.1548	3468.1404	2551.1644	1384.2282	1066.8348	1035.4899	1195.5541	2277.2848	849.6169	2326.7571	1335.0384	2772.2567	1345.5285	1750.6658	1432.1862	918.2464	3777.2821	1206.0201	2684.4725	1089.1182	959.2082	1182.5877	3103.4483	2115.5303	2609.3342	2036.3128	11136.3636	2764.5798	2128.3784	6061.6438	1037.0544	1730.7692	1508.9404	1810.2273	4315.9645	1729.4118	2865.0101	4376.0684	2460.2578	2208.9716	1543.2596	1481.6248	1834.4663	1978.8462	1529.4516	1396.2963	2492.6323	1277.4674	2836.3814	1630.2251	3493.865
phenylalanine	1646.0377	530.9495	630.9362	789.7418	751.425	1259.9256	3889.0728	4901.7176	846.473	1195.6371	1376.2887	2639.7598	3164.2903	2997.9267	1557.1992	915.6408	1060.9296	2230.1644	961.4809	1253.6842	967.8639	581.7996	1138.0028	590.879	2053.9112	6306.1441	2564.9021	2163.3907	2788.6662	917.8322	2896.6942	4602.6157	1122.8632	2295.8388	7307.3579	2523.2143	2228.9815	1222.9684	3092.9712	2644.5742	10516	5177.1429	1039.2781	753.9033	3588.6859	2374.0157	3148.1132	1668.5393	1458.2485	5607.4219	2664.6558	3311.465	2673.1675	1542.4242	2279.8742	2878.6611	4202.5358	7631.2632	4447.651	3271.4376	1788.3166	4162.6933	2759.0949	1311.3027	11387.7928	3984.9744	5080.7453	3972.561	1516.9774	5393.7247	535.545	5241.2491	1708.6957	2241.5395	4021.576	2121.7756	4031.1366	5402.1298	5751.8939	1638.0548	2478.5847	7346.2282	2782.5901	4494.9324	4180.4795	21997.6548	3181.5889	2595.6954	1910.7955	47467.8492	6740.1961	11073.2035	26921.6524	2645.5424	3678.337	6197.1831	3288.2012	6341.6044	9636.9231	9416.3846	4009.2593	4491.9625	2271.8808	3638.7982	8371.0611	20056.2372
phosphoethanolamine	93.9623	117.1875	143.4871	315.8967	55.0982	157.2581	132.1192	76.3359	85.0622	156.856	203.0928	101.0674	324.6922	143.0546	79.8817	155.3222	110.2387	53.6097	125.6545	121.0526	100.189	143.1493	163.3148	74.3556	205.074	182.2034	69.6157	130.8354	703.5066	98.6014	209.7107	282.6962	131.4103	454.4863	601.0033	190.7143	180.4511	81.5984	327.7955	181.3187	546	225.7143	101.9108	126.0223	134.3547	160.8116	272.6415	146.0674	144.6029	90.8203	330.0213	104.1401	376.2609	72.7273	154.0881	104.6025	839.7269	246.6478	174.1611	215.6368	199.7487	122.7448	85.1819	145.5939	1616.5228	97.8261	144.9275	253.0488	81.8908	159.919	91.2322	262.5257	122.408	56.7352	72.2326	179.0642	69.8307	187.1197	90.9091	176.2402	480.4469	116.0542	167.2384	281.7568	302.0548	1630.863	72.8247	783.7748	126.1364	1626.3858	150	654.8019	216.5242	162.7282	194.7484	187.1227	200.1934	966.6893	169.6154	143.1957	136.1111	84.3938	68.9013	126.388	139.8714	719.8364
proline	2744.1509	1321.5144	738.806	5556.7255	2400.57	4252.4814	14602.649	14671.7557	1137.9668	1723.338	3143.299	7064.7098	9885.6124	11101.244	5593.6884	2370.0217	2532.6633	3505.0036	2887.8085	3680	1449.9055	1531.6973	2228.1553	1030.0727	5486.2579	13402.5424	8820.5221	4705.4668	6541.0144	2417.8322	10966.9422	8234.4064	3670.9402	10026.9831	9660.2007	3100.7143	6520.8476	3010.0739	11980.8307	4241.4148	31030	10977.1429	2915.0743	1854.6468	12885.6806	7790.7329	8188.6792	6215.3558	3358.4521	23303.7109	5676.3662	9876.1146	4472.764	3661.6162	3966.457	6797.0711	12037.0611	10127.3818	4901.6779	7420.5549	6698.1784	6936.5335	4040.8163	3191.5709	15707.4599	9773.977	10238.0952	11070.122	4904.4607	10952.4291	1232.2275	10777.9684	3863.8796	7142.6676	8644.4653	1367.7265	6207.6784	13752.5355	11778.4091	4518.6031	6328.6778	15812.3791	6969.9828	10044.9324	17134.9315	28803.94	5287.831	14216.2252	4828.9773	141509.9778	11132.3529	23827.7367	65881.7664	8278.1955	8997.8118	16071.4286	8032.882	14233.1747	24165	15282.3291	7349.0741	8724.7153	3964.6182	8168.1907	9558.5209	37741.3088
propane-1,3-diol NIST	1058.4906	503.0048	562.7544	560.462	925.2692	694.1687	767.8808	922.7099	954.3568	1041.8975	782.4742	844.563	716.4614	738.0788	786.9822	897.176	572.8643	659.3996	677.6365	925.2632	973.535	838.4458	814.4938	954.7257	500	935.3814	546.0479	796.9902	974.0138	936.7133	850.2066	988.9336	959.4017	891.4174	808.6957	943.9286	682.8435	706.1786	743.77	672.7335	747	1091.4286	926.7516	933.4572	698.2911	940.3392	682.0755	485.0187	561.0998	730.4688	897.445	505.414	549.7646	560.6061	1009.434	808.5774	320.8713	738.885	1022.8188	491.8033	567.2111	996.4562	1408.1633	697.318	959.926	570.6522	772.2567	664.6341	806.9241	909.919	491.7062	434.4544	674.2475	903.7823	1024.3902	696.4607	248.4885	1329.6146	90.9091	725.5222	770.0186	1015.4739	975.1286	822.973	852.7397	1245.3096	735.8134	928.8079	1237.5	2657.4279	780.3922	753.5259	1331.9088	1284.1031	61.2691	866.1972	915.8607	793.3379	803.0769	754.5701	144.4444	903.215	583.7989	846.5056	887.4598	1005.1125
pseudo uridine	195.8491	124.399	138.3989	224.1848	228.9424	149.8139	455.9603	333.9695	114.1079	156.856	255.6701	210.1401	261.5036	430.2004	337.2781	275.887	148.8693	244.4603	178.3844	241.0526	162.5709	213.7014	217.4064	253.8004	307.611	468.2203	234.9529	210.0737	420.789	184.6154	419.4215	143.8632	182.6923	263.329	432.4415	367.5	222.488	165.2116	339.2971	260.6456	395	251.4286	246.2845	167.2862	425.1621	403.3919	266.9811	207.8652	167.0061	589.8438	257.6295	239.8089	303.6315	213.1313	187.631	472.8033	154.0962	328.1581	290.9396	230.7692	182.7889	768.3634	211.6238	181.0345	338.471	163.0435	368.53	224.5935	174.767	316.8016	136.2559	343.8572	151.505	263.7691	208.2552	234.853	237.6058	418.357	311.553	199.7389	202.0484	390.7157	146.6552	233.1081	464.3836	398.2176	202.396	307.947	361.3636	1134.1463	195.098	384.822	535.6125	385.0698	475.93	257.5453	220.5029	471.1081	361.1538	210.2234	130.5556	11667.4481	128.4916	350.7511	172.6688	370.1431
putrescine	221.8868	146.9351	53.9349	388.2473	227.0424	103.2878	389.404	145.0382	152.4896	204.6399	145.3608	174.1161	173.0395	356.5999	298.8166	85.8074	215.7663	292.7091	159.3119	156.8421	281.6635	179.9591	149.792	210.1785	286.4693	331.5678	303.4808	212.8378	147.464	571.6783	712.8099	118.7123	151.7094	287.7113	381.2709	139.2857	376.2816	207.5218	297.1246	143.2005	356	327.1429	227.1762	720.4461	198.8804	304.361	337.7358	110.4869	354.3788	80.0781	150.1065	202.5478	219.9059	265.6566	784.0671	210.251	548.1144	1497.8829	180.2013	189.1551	506.9095	429.1237	407.276	146.5517	331.9975	144.821	166.6667	567.0732	176.7643	214.5749	130.3318	376.8016	628.0936	154.28	264.5403	138.5723	466.1427	760.6491	290.7197	221.2794	257.9143	874.2747	364.0652	709.4595	353.4247	302.5328	339.5334	210.596	342.6136	943.459	212.7451	861.3163	1254.9858	483.3512	1682.7133	218.3099	218.5687	283.4806	361.1538	508.8016	267.5926	295.3784	185.2886	255.7152	676.2058	767.8937
