analyte	SAT_1	SAT_10	SAT_11	SAT_12	SAT_13	SAT_14	SAT_15	SAT_16	SAT_17	SAT_18	SAT_19	SAT_2	SAT_20	SAT_21	SAT_22	SAT_23	SAT_24	SAT_25	SAT_26	SAT_27	SAT_28	SAT_29	SAT_3	SAT_30	SAT_31	SAT_32	SAT_33	SAT_34	SAT_35	SAT_36	SAT_38	SAT_39	SAT_4	SAT_40	SAT_41	SAT_42	SAT_43	SAT_45	SAT_46	SAT_47	SAT_48	SAT_49	SAT_5	SAT_50	SAT_51	SAT_52	SAT_53	SAT_54	SAT_55	SAT_56	SAT_57	SAT_58	SAT_59	SAT_6	SAT_7	SAT_8	SAT_9	VAT__1	VAT__10	VAT__11	VAT__12	VAT__13	VAT__16	VAT__17	VAT__18	VAT__19	VAT__2	VAT__20	VAT__21	VAT__23	VAT__24	VAT__25	VAT__26	VAT__27	VAT__29	VAT__3	VAT__30	VAT__31	VAT__32	VAT__33	VAT__35	VAT__36	VAT__37	VAT__4	VAT__40	VAT__41	VAT__42	VAT__44	VAT__45	VAT__46	VAT__47	VAT__48	VAT__49	VAT__5	VAT__52	VAT__53	VAT__54	VAT__55	VAT__56	VAT__57	VAT__58	VAT__59	VAT__6	VAT__7	VAT__8	VAT__9
pyrophosphate	890.9434	1243.0889	1448.1004	6471.8071	1668.1444	1052.4194	7508.9404	3486.6412	1016.5975	1033.5873	1904.1237	2903.936	3063.1886	4239.8065	3017.7515	2241.8537	2776.696	2550.7505	1147.7188	1585.2632	2171.0775	1060.3272	1723.6477	1315.5981	3905.9197	3811.4407	1987.3096	1615.172	7127.1133	1946.8531	7586.7769	1526.1569	2573.7179	5017.8804	3690.301	5000.3571	4560.4921	3957.0181	6023.0032	4584.478	2303	2992.8571	832.2718	2232.7138	3841.485	3771.3507	5193.3962	1101.1236	3750.5092	1597.6562	7810.8588	5279.6178	9464.0215	927.2727	558.7002	549.1632	9486.671	1830.2752	2341.6107	1387.4527	4449.1206	3079.2526	3350.0444	1448.2759	3552.0962	3632.9923	3038.3023	1535.5691	3006.9907	1808.7045	786.7299	2580.9883	1773.913	3913.7359	2318.0113	3231.2537	3921.4027	3988.8438	2253.7879	934.0731	6060.5214	4274.6615	9648.3705	7034.7973	9998.6301	9071.7636	4976.6709	11864.9007	3008.5227	8207.3171	2778.4314	3546.004	4444.4444	2352.3093	2903.7199	1409.4567	795.9381	9520.0544	3360	4877.7928	637.037	1920.9645	1495.3445	3128.3475	714.791	3739.2638
pyruvic acid	371.3208	133.4135	238.1275	271.0598	147.2451	299.6278	360.596	1038.1679	319.5021	384.349	169.0722	658.439	458.8464	260.1935	270.217	402.9689	207.2864	295.9257	253.5527	577.8947	244.8015	317.9959	189.3204	196.2987	223.0444	980.9322	271.9362	329.8526	293.0495	353.4965	1096.0744	1056.338	267.094	263.329	472.5753	309.6429	287.0813	268.9725	1049.5208	395.6044	547	761.4286	268.5775	213.0112	734.5315	292.55	1670.7547	248.1273	330.9572	483.3984	1286.0185	511.1465	270.343	430.303	339.6226	189.3305	394.9935	481.6514	214.4295	480.454	209.1709	270.6186	453.8598	273.9464	1123.6128	274.2967	632.5052	328.252	282.6232	748.9879	336.4929	803.0199	318.0602	592.2362	909.0056	327.5345	298.3676	1001.0142	1243.3712	254.5692	218.8082	2698.2592	396.2264	334.4595	861.9863	734.5216	579.7604	241.3907	432.9545	1829.2683	404.902	712.223	629.6296	505.9076	750.547	810.8652	607.3501	547.5867	1236.9231	356.4658	256.4815	385.8004	433.892	430.111	535.3698	925.3579
ribose	254.717	105.4688	154.6811	108.0163	107.3464	123.7593	115.2318	366.4122	98.5477	175.554	126.8041	71.0474	167.2067	350.3801	86.785	149.8914	105.5276	195.1394	131.264	244.2105	97.3535	75.6646	87.3786	131.8572	332.981	226.6949	160.9862	128.9926	207.5767	230.7692	328.5124	198.1891	200.8547	273.0819	394.3144	205.7143	133.2878	103.7609	164.8562	325.5495	715	434.2857	128.4501	126.0223	449.0277	295.2756	464.1509	99.2509	237.2709	182.6172	463.0944	195.8599	194.6873	154.5455	248.4277	106.6946	314.0442	679.6048	185.2349	119.1677	195.9799	607.9253	183.6735	187.7395	673.2429	351.9821	632.5052	383.1301	199.7337	650.8097	165.8768	388.1263	260.8696	297.6111	235.4597	352.7295	378.1741	616.1258	678.0303	130.2219	218.8082	749.5164	259.8628	484.4595	336.9863	875.2345	313.9975	228.4768	630.6818	5026.6075	576.4706	940.8999	2754.9858	165.9506	528.4464	789.7384	347.1954	2071.0401	598.8462	829.7224	51.8519	406.8989	144.3203	371.3259	301.9293	1023.5174
salicylaldehyde	404.1509	364.1827	670.6242	481.9973	360.988	351.737	647.6821	856.8702	489.6266	347.9917	483.5052	226.1508	551.199	614.7201	517.7515	382.3316	243.0905	285.2037	562.0793	353.6842	270.3214	245.3988	301.6644	228.0238	839.3235	527.5424	450.3263	693.7961	606.7627	525.5245	926.6529	758.5513	614.3162	423.277	720.4013	619.2857	391.661	335.46	767.7316	506.8681	1009	862.8571	401.2739	322.3048	601.0607	443.3677	601.8868	455.0562	644.6029	508.7891	514.1945	784.3949	475.1177	390.9091	301.8868	473.8494	561.7685	374.7354	723.8255	709.3317	406.093	416.5593	692.1029	527.7778	848.9519	890.0256	581.7805	603.6585	242.6764	394.7368	404.0284	354.1524	390.301	403.1188	440.9006	309.5381	330.1088	739.3509	378.7879	518.9295	527.933	498.0658	688.2504	595.9459	508.5616	1424.015	526.797	768.8742	947.7273	4427.9379	351.9608	1187.7099	1225.0712	578.4103	570.0219	758.5513	661.5087	748.4704	338.0769	973.9336	734.2593	626.9257	294.2272	377.2044	587.4598	1371.1656
serine	5135.0943	1623.4976	4928.4261	3933.4239	2593.4136	4043.1141	8911.5894	11718.5114	3628.6307	3688.7119	3555.6701	5990.994	9839.9222	6439.5301	7642.0118	4063.3599	2808.7312	4853.8242	6271.5034	5382.1053	3477.3157	2546.0123	3689.6671	1344.349	5771.6702	13622.8814	6187.0921	4408.7838	6900.7514	4105.5944	8452.4793	10624.7485	6783.1197	6290.6372	14172.2408	4431.4286	5814.4224	4260.2418	9372.8435	6908.6538	20499	17161.4286	3269.6391	3050.1859	11377.7254	5486.6747	8093.3962	4714.4195	4054.9898	15093.75	11562.4556	7233.4395	6299.5965	5351.5152	5100.6289	6278.2427	8901.4954	15137.6147	11637.5839	7450.8197	5757.8518	11971.9716	9842.5022	5258.6207	21117.4476	7429.0281	10346.7909	9718.4959	5109.1878	11369.4332	1720.3791	16555.5937	6249.8328	8961.1812	8394.9343	6726.1548	8889.3591	16531.9473	12768.9394	3324.0862	5168.5289	16689.5551	8212.693	9613.1757	10398.2877	35856.4728	7602.1438	6800.6623	5343.75	81548.7805	12021.5686	22928.1397	55364.6724	6074.1139	7638.9497	11847.0825	8184.7195	17870.4963	19332.6923	23817.197	8517.5926	12043.2016	9529.7952	6988.5696	15021.2219	33210.634
sorbitol	190.1887	155.0481	218.7924	149.7962	184.2939	156.3275	275.1656	367.3664	244.8133	282.5485	202.0619	6870.5804	213.8691	12242.5708	283.0375	360.6083	180.9045	416.0114	245.6993	323.1579	196.5974	417.1779	205.9639	222.0753	349.8943	462.9237	3221.8999	4260.4423	631.1835	495.1049	559.9174	223.34	621.7949	503.251	366.2207	279.6429	323.9918	550.0336	168.6901	277.1291	665	427.1429	228.2378	360.223	241.3082	380.6784	310.3774	212.5468	292.2607	507.8125	358.7651	371.6561	11990.9213	287.8788	159.3291	251.046	259.4278	1824.9824	310.0671	307.377	240.2638	302.5129	255.5457	126.4368	430.9494	272.3785	521.7391	272.3577	3098.8682	274.2915	279.6209	914.2073	287.9599	221.9642	181.9887	332.9334	254.8368	680.0203	292.6136	27165.47	310.987	447.7756	883.7907	341.5541	561.9863	502.3452	268.6003	2337.4172	499.4318	951.2195	27188.2353	235.7287	917.3789	372.1805	251.6411	239.4366	234.0426	163.1543	286.1538	299.5938	226.8519	300.4019	321.2291	525.147	248.8746	693.2515
spermidine	209.434	80.2284	85.4817	110.0543	94.9968	64.206	271.1921	135.4962	79.8755	177.6316	88.6598	161.1074	163.3182	313.0615	175.5424	146.6329	111.1809	245.5325	157.0681	110.5263	113.4216	52.1472	89.4591	93.1923	167.019	177.9661	106.599	108.7224	219.7871	156.2937	238.6364	129.7787	151.7094	233.0949	145.4849	135	208.134	114.8422	93.9297	197.8022	215	190	78.5563	143.8662	117.5604	127.1956	212.2642	66.4794	100.8147	91.7969	88.3605	152.8662	149.2939	129.2929	183.4382	114.0167	222.3667	423.4298	142.953	194.8298	170.5402	136.2758	291.4818	113.9847	348.6436	164.0026	361.2836	152.439	167.7763	124.4939	155.2133	136.9252	107.3579	156.2707	96.6229	98.0804	122.4305	214.503	162.8788	111.6188	133.1471	91.8762	225.1286	154.0541	141.7808	1756.0976	152.2699	133.1126	177.2727	179.6009	204.902	1298.5225	829.0598	149.8389	131.291	122.7364	195.3578	248.8103	178.8462	117.8064	165.7407	136.6376	94.041	171.4566	108.0386	239.2638
squalene	355.4717	147.8365	207.5984	664.4022	162.4446	183.3127	314.9007	1701.3359	173.2365	364.6122	203.0928	1738.1588	428.7103	866.6206	870.8087	687.5453	118.7186	257.3267	359.0127	918.9474	452.741	297.546	302.7046	210.1785	788.5835	333.6864	316.5337	224.8157	394.4897	525.5245	622.9339	849.0946	641.0256	516.9051	748.495	180	787.4231	301.2089	588.4984	2808.3791	238	2492.8571	316.3482	326.7658	1232.1744	675.954	421.6981	1054.3071	896.1303	503.9062	229.9503	318.1529	344.9899	425.2525	223.2704	876.569	296.4889	431.8984	280.8725	181.5889	442.8392	246.4562	641.5262	365.9004	331.0727	329.9233	274.3271	620.935	636.1518	250	329.3839	368.5655	960.2007	259.7877	330.2064	161.9676	862.4547	1232.2515	3317.2348	403.3943	366.8529	1106.383	1352.0583	491.5541	789.0411	887.8987	302.6482	426.1589	1094.3182	458.98	2032.3529	428.1397	1867.5214	734.6939	572.2101	439.6378	288.2012	2228.0761	1363.8462	617.4678	458.3333	837.9102	407.8212	388.9615	387.7814	1101.227
stearic acid	234918.1132	106521.6346	148178.4261	191800.2717	160781.1906	160425.5583	233210.2649	250434.1603	150129.668	232917.59	158900	165157.1047	144397.6021	201612.6469	181602.5641	218922.882	110746.5452	221445.6755	124274.4951	345443.1579	126663.5161	179629.8569	144695.9085	109340.3833	192911.2051	240054.0254	208712.1102	227296.9902	349954.6024	288098.6014	255546.4876	238786.7203	150848.2906	240559.8179	174370.2341	255038.5714	227188.9952	251884.1504	194969.3291	260051.1676	133326	229974.2857	163221.8684	209058.7361	188075.4272	206804.6638	84707.5472	146502.809	242202.6477	166349.6094	208787.4379	178053.8217	313134.8352	141872.7273	173561.8449	249063.8075	225080.9493	216128.0875	117977.5168	145072.5095	176657.0352	191234.5361	303763.9752	78828.5441	252565.0432	88772.3785	156963.7681	127099.5935	171413.4487	174515.1822	139530.8057	251442.0041	151458.8629	225429.9934	116024.3902	115523.3953	139562.5756	317140.4665	195278.4091	278073.7598	223899.4413	371817.2147	332345.1973	213950.6757	312318.4932	247791.2758	138018.9155	144668.543	267813.0682	273643.0155	187444.1176	158251.5111	464786.3248	289269.6026	195456.2363	202859.1549	229369.4391	191716.5194	216175.3846	203434.3263	170034.2593	308521.7683	140312.8492	157381.45	222657.8778	250792.4335
succinic acid	369.0566	70.3125	805.9701	152.8533	357.1881	521.0918	712.2517	199.4275	290.4564	322.0222	337.1134	433.2889	571.6137	675.8811	561.144	589.79	465.4523	449.2495	361.2565	489.4737	341.2098	440.6953	364.0777	254.7918	930.2326	1130.2966	476.4322	516.8919	467.752	101.7483	585.7438	347.0825	423.0769	696.3589	888.9632	444.6429	636.7054	359.6373	1030.3514	330.7005	1351	732.8571	268.5775	593.3086	290.8073	410.6602	355.6604	339.8876	646.6395	556.6406	996.4514	480.5732	288.5003	157.5758	327.044	631.7992	377.4382	510.2329	507.3826	868.2219	473.9322	1323.1314	512.4224	144.636	448.5203	607.0972	711.1801	798.7805	324.5672	607.2874	433.6493	519.9039	507.6923	694.7578	448.4053	655.9688	152.3579	788.0325	678.9773	436.6841	568.9013	1566.7311	586.6209	632.4324	991.4384	2325.985	438.8398	173.8411	242.0455	3515.5211	379.4118	2801.5447	2405.9829	826.5306	677.2429	680.0805	306.5764	1150.2379	490.3846	797.2241	415.7407	594.7756	465.5493	484.9771	333.7621	882.4131
sucrose	198.1132	100.9615	193.3514	104.9592	45.5985	139.5782	82.4503	147.9008	44.6058	95.5679	179.3814	74.0494	95.269	77.7471	107.4951	218.3201	127.1985	52.5375	72.9245	185.2632	282.6087	201.4315	152.9126	70.39	99.3658	360.1695	209.9347	105.0369	111.7721	374.4755	258.2645	314.8893	175.2137	120.9363	114.3813	42.8571	694.1217	219.6105	94.8882	166.8956	540	210	101.9108	99.2565	125.5156	114.4761	39.6226	67.4157	117.1079	31.25	154.3648	448.0892	135.1715	121.2121	179.2453	95.1883	197.9844	151.3761	67.4497	123.8966	129.0829	533.5052	328.7489	110.1533	174.7842	146.7391	75.5694	47.7642	377.4967	64.7773	168.2464	96.7742	196.6555	181.1546	134.1463	90.8818	105.1995	320.9939	186.553	88.1201	224.3948	294.971	207.1184	41.5541	169.5205	529.0807	91.7402	71.5232	109.0909	289.357	133.3333	186.3667	405.9829	98.2814	87.5274	70.4225	88.9749	255.9483	110.7692	157.4137	109.2593	322.505	147.1136	106.7929	141.8006	281.1861
sulfuric acid	103.0189	301.9832	3170.9634	104.9592	113.9962	1945.7196	157.947	1823.4733	3084.0249	87.2576	1877.3196	337.2248	156.5133	167.9337	93.6884	3986.2419	1439.6985	87.9199	114.4353	116.8421	89.7921	35.7873	202.8433	532.386	280.1268	2072.0339	432.9224	146.4988	126.8003	182.5175	102.2727	1014.0845	210.4701	182.3797	889.9666	895.7143	100.4785	311.2827	338.3387	494.5055	1831	1182.8571	62.6327	265.4275	352.6812	96.3053	333.0189	97.3783	564.1548	636.7188	865.5075	468.1529	3135.1715	140.404	88.0503	93.0962	467.1651	98.4474	1147.651	1242.7491	143.2161	259.0206	1044.8092	534.4828	502.1578	6472.8261	401.6563	181.9106	253.6618	1108.2996	123.2227	148.2498	75.2508	328.4672	89.1182	2738.1524	486.0943	267.7485	366.4773	140.0131	226.257	185.6867	219.9828	163.1757	191.0959	1190.4315	144.7037	150.9934	419.3182	791.5743	226.4706	557.0853	202.2792	244.898	198.0306	286.7203	161.5087	801.4956	616.1538	505.7549	131.4815	189.8861	377.095	209.6669	160.1286	257.6687
taurine	3504.9057	590.4447	139.4166	1415.4212	1560.798	764.8883	12451.9868	2328.2443	334.0249	1686.9806	1171.134	3318.2121	4593.3247	4037.6641	2207.1006	871.1079	2329.1457	4711.2223	1280.1047	1380	1402.6465	1102.2495	2062.7601	383.6748	4237.8436	3861.2288	3496.0116	4483.4152	3988.1027	4323.7762	8622.9339	1287.7264	3263.8889	4983.7451	4819.0635	1163.5714	3744.3609	1229.0128	6611.5016	9138.0495	9320	3898.5714	1491.5074	1185.5019	2818.7979	6642.338	8827.3585	2719.1011	6735.2342	3875	1859.8297	3343.949	2114.3241	759.596	1177.1488	1496.8619	3535.4356	3260.4093	1428.5235	1491.488	3047.1106	1919.4588	596.2733	1005.7471	5349.8767	1936.3811	5161.4907	6086.3821	1162.4501	2101.2146	513.0332	3107.0693	1354.515	2755.1427	2191.3696	584.883	3917.7751	5936.1055	2821.9697	661.8799	5128.4916	6508.7041	4418.9537	4602.3649	10324.3151	8976.0788	2655.7377	8428.8079	1106.25	57538.8027	4041.1765	13886.8368	13911.6809	1127.8195	3969.3654	4565.3924	5364.6035	18507.8178	4716.9231	2518.6188	627.7778	1980.2411	1321.229	11526.7799	1597.4277	4724.9489
threonic acid	475.4717	237.0793	261.5332	553.3288	542.4319	292.1836	1416.5563	829.1985	450.2075	342.7978	555.6701	421.2809	744.6533	1527.9889	612.426	734.2505	612.4372	659.3996	402.7674	446.3158	356.3327	233.1288	519.0707	373.7607	760.0423	2467.161	548.2234	603.5012	1105.5103	819.2308	1883.2645	224.3461	493.5897	596.8791	1658.5284	1170	769.9932	215.5809	1192.3323	517.1703	4217	984.2857	243.0998	243.1227	548.9098	1119.3216	1395.283	588.015	1270.8758	1863.2812	1650.1065	1912.7389	1113.6516	404.0404	352.2013	559.6234	1976.9181	681.7219	912.0805	279.0038	599.2462	464.884	433.8953	490.4215	893.3416	637.7877	918.2195	469.5122	274.6338	751.0121	138.6256	840.0824	438.4615	724.6184	884.6154	1124.775	647.5212	1110.5477	1433.7121	374.0209	601.4898	2122.824	1121.7839	910.1351	1681.8493	2794.5591	849.3064	1241.7219	664.7727	2600.8869	574.5098	3113.8348	2837.6068	410.8485	870.8972	1025.1509	523.2108	4727.3963	1377.6923	785.0372	243.5185	482.2505	621.9739	714.2391	150.4823	1563.3947
threonine	1858.8679	567.0072	1639.4166	1654.8913	728.6257	1607.9404	4388.7417	6586.8321	1108.9212	1113.5734	1844.3299	2485.6571	4521.3869	3840.7049	2914.2012	1548.8776	1565.9548	2036.0972	1898.2797	1589.4737	1417.7694	655.4192	1235.7836	928.9491	2692.389	7129.2373	2300.5801	2353.1941	4184.4083	1512.5874	4653.9256	4608.6519	2258.547	3440.8322	5766.2207	2638.9286	1923.445	1330.7589	4867.0927	2672.3901	9847	6891.4286	1152.8662	1590.3346	4667.0595	2667.4743	4269.8113	1872.6592	1531.5682	6863.2812	3732.4344	3806.3694	3040.3497	1553.5354	2184.4864	3133.8912	4429.7789	6432.957	3872.8188	3200.5044	2445.0377	4816.0438	3592.2804	1741.3793	8322.1332	4549.8721	4600.4141	4429.878	2296.9374	6515.1822	862.5592	4822.2375	2180.2676	3576.3106	3900.5629	2499.7001	3337.364	6225.1521	5753.7879	1454.9608	3154.5624	7009.6712	3609.777	4947.973	6493.1507	14997.1857	3812.4212	3990.3974	2599.4318	48179.6009	5309.8039	12117.8643	23149.5726	2958.1096	3194.7484	6452.7163	3820.1161	8733.8545	8503.8462	9519.9729	3770.3704	4636.6376	2791.4339	3070.5421	6480.3859	14651.3292
tocopherol alpha-	5136.2264	2062.5	2015.943	35593.4103	2233.3756	6313.5856	38782.4503	7707.0611	1090.249	7809.5568	3248.4536	4491.9947	6729.0992	53329.302	16632.1499	19196.9587	3751.8844	97877.4124	6876.2154	16890.5263	13206.9943	5943.7628	1295.0763	21240.9121	14593.0233	44152.5424	8672.5888	7882.371	20457.1071	7344.7552	9075.4132	21518.1086	11816.2393	32387.5163	28243.1438	16285.7143	13503.0759	11955.675	42577.9553	20438.5302	13162	13468.5714	10780.2548	7728.6245	6933.4119	151077.5288	23060.3774	16450.3745	27633.4012	4720.7031	10807.665	12792.9936	20893.0733	2749.4949	5683.4382	5061.7155	10528.2835	19455.5399	6722.8188	1567.1501	39107.4121	7719.3943	17225.3771	4895.5939	7815.3514	2885.8696	7281.5735	17222.561	76804.5939	48176.1134	2783.1754	141613.5896	22211.0368	41764.1009	14357.4109	2526.6947	37799.2745	27917.3428	65532.197	6651.1097	24714.1527	5890.7157	53585.7633	17670.6081	26524.3151	34604.1276	12520.1765	26092.053	27190.9091	29833.7029	15631.3726	34898.9255	18113.9601	36552.6316	77678.337	25631.7907	22237.911	45265.1258	9057.6923	18048.7475	13792.5926	27700.2679	23274.6741	32640.4311	8780.0643	5575.6646
tocopherol beta NIST	242.2642	206.4303	233.0393	713.3152	153.8949	214.0199	1884.4371	304.3893	159.751	331.3712	174.2268	278.1855	223.5904	497.5812	679.4872	416.0029	292.0854	716.2259	246.8212	504.2105	157.845	445.8078	158.1137	171.5135	524.3129	1254.2373	380.7107	344.5946	881.0269	343.007	396.6942	721.328	373.9316	751.9506	1059.5318	634.2857	479.836	431.1619	669.9681	795.3297	377	582.8571	124.2038	284.3866	399.5286	1296.487	667.9245	401.6854	745.4175	205.0781	259.7587	402.2293	467.0477	138.3838	142.5577	166.318	203.8362	348.271	413.7584	191.9924	757.5377	495.8119	690.772	141.7625	305.1788	191.8159	406.8323	507.1138	700.0666	796.5587	219.1943	894.6465	1009.3645	982.4154	595.6848	169.1662	1146.312	797.1602	1678.0303	302.5457	972.9981	370.4062	964.837	665.8784	804.4521	1091.9325	661.0971	588.0795	818.1818	713.969	692.1569	996.3062	512.8205	315.7895	508.7527	771.6298	502.9014	1070.7002	306.9231	654.0284	489.8148	654.0522	597.7654	1560.7446	298.0707	193.2515
tocopherol gamma-	946.4151	630.1082	763.2293	2654.5516	417.0361	1131.5136	6034.7682	1063.9313	207.4689	1318.2133	311.3402	1593.062	1402.7868	1327.9198	1512.8205	2254.8878	491.8342	2146.5332	1109.5737	3530.5263	666.3516	717.7914	249.6533	1844.0185	2734.6723	6719.2797	1111.6751	956.3882	3951.4715	1443.3566	2292.3554	3546.2777	2760.6838	4277.6333	4441.806	2050.7143	925.8373	2264.6071	1753.0351	2178.9148	2249	2717.1429	449.0446	1257.9926	727.4602	3806.7838	2767.9245	3246.2547	4265.7841	607.4219	1394.6061	1929.9363	4468.729	240.404	1034.5912	690.3766	1288.3615	3582.2159	2465.4362	499.3695	3047.1106	1511.5979	2759.0949	1018.1992	1190.1973	273.3376	2621.118	3203.252	1764.6471	4950.4049	502.3697	2795.127	3793.6455	7272.0637	1686.6792	644.2711	4324.0629	4712.9817	9255.6818	800.9138	4606.1453	1814.3133	4092.1955	5031.0811	3314.3836	5217.636	2100.5675	2986.0927	4963.6364	1869.1796	1952.9412	6064.4728	2980.057	1715.8969	2375.2735	3331.992	4661.5087	5838.8851	1230	2793.8389	2413.8889	6416.9457	2279.3296	3242.9784	1235.6913	814.9284
trans-4-hydroxyproline	463.0189	357.8726	425.3731	510.5299	457.8847	423.3871	319.8675	207.0611	301.8672	434.2105	380.4124	398.2655	473.4284	540.0829	460.5523	297.6104	350.5025	593.9957	428.5714	262.1053	354.4423	316.9734	342.233	721.7449	396.4059	503.178	217.5489	246.9287	201.0019	1010.1399	445.2479	519.1147	448.7179	331.5995	487.6254	349.2857	279.9043	455.3392	369.0096	592.3764	491	197.1429	361.9958	842.0074	310.2534	636.8867	292.4528	307.1161	577.3931	492.1875	287.4379	474.8408	332.885	382.8283	549.2662	560.6695	483.7451	776.9936	214.4295	391.5511	635.0503	519.0077	423.2476	373.5632	368.0641	726.9821	484.472	411.5854	326.5646	412.9555	619.6682	360.3294	511.7057	291.639	377.1107	374.3251	509.6735	415.3144	609.8485	477.8068	171.3222	412.9594	478.5592	302.027	665.7534	595.2158	328.1841	354.6358	530.1136	997.7827	231.3725	369.7112	698.0057	444.6831	684.9015	483.9034	679.8839	288.5792	511.1538	344.2789	240.7407	358.6738	335.1955	736.7734	298.0707	470.3476
tryptophan	1063.0189	246.0938	337.8562	1268.6821	336.2888	836.5385	4952.9801	4053.4351	337.1369	392.6593	1498.9691	1818.2121	2346.7272	3301.6586	1512.8205	685.3729	855.5276	1305.9328	981.6754	737.8947	660.6805	528.6299	683.4258	343.0271	1728.3298	4307.2034	1609.8622	989.5577	3481.841	1044.7552	3019.6281	2318.9135	877.1368	1291.2874	3622.0736	2375.3571	1800.4101	1536.2659	2804.4728	2599.2445	5982	4102.8571	638.0042	663.5688	2688.8627	2064.2035	2561.3208	1266.8539	961.3035	4250	1715.0461	3033.4395	2429.0518	917.1717	1401.4675	1555.4393	2985.3706	4493.6486	989.5973	717.8436	939.3844	1794.7809	1711.6238	656.1303	5552.4044	1522.0588	2674.9482	1961.3821	1075.5659	2531.3765	136.2559	2330.8167	918.0602	972.4618	2394.9343	274.4451	1426.5417	3718.0527	3847.5379	859.6606	1702.9795	7081.2379	2100.7719	3782.4324	5562.3288	10613.9775	2322.8247	1414.5695	1182.9545	19371.3969	3483.3333	6540.9671	18927.3504	837.8088	1685.9956	4220.3219	1646.0348	4563.2223	5409.2308	3387.9485	2070.3704	1523.1078	969.2737	2693.3377	3697.4277	10447.8528
tyrosine	2796.2264	739.1827	1605.8345	1892.3234	1103.8632	1721.464	7585.4305	7307.2519	1294.6058	1394.0443	3493.8144	4759.1728	4548.6066	5254.6648	2892.5049	1653.1499	1850.5025	4474.2673	1961.107	1631.5789	1293.0057	932.5153	2080.4438	825.8427	4127.907	9361.2288	3332.8499	2486.7936	7080.1503	2423.0769	4677.686	5448.6922	2168.8034	4196.684	10189.9666	3079.2857	2825.7006	1882.8073	4758.7859	4981.1126	15709	9334.2857	1226.1146	1885.8736	5747.2009	4070.2604	5963.2075	3243.4457	2241.3442	10275.3906	4111.4265	5978.9809	4552.4546	2292.9293	3342.7673	3445.6067	6631.9896	11344.7424	5125.1678	3995.9016	2967.9648	5268.3634	3854.4809	2119.7318	13714.5499	6766.3043	8616.9772	5162.6016	2535.6192	6327.9352	637.4408	10246.7399	2914.7157	3119.4426	4672.6079	2829.0342	6132.4063	7817.9513	7571.0227	2008.1593	3527.0019	12651.8375	3580.1887	5794.2568	8185.274	25777.2045	3390.6053	4265.5629	2427.2727	62662.9712	10180.3922	14141.7058	38811.9658	2674.5435	4855.5799	9365.1911	4250.4836	9571.0401	11308.8461	11295.193	4820.3704	5965.8406	2789.5717	7022.8609	11201.2862	23057.2597
UDP-glucuronic acid	204.9057	112.6803	113.9756	203.8043	94.0469	197.2705	173.8411	391.2214	145.2282	88.2964	195.8763	293.1955	229.4232	297.5121	208.0868	153.1499	196.9221	277.6984	120.0449	137.8947	123.8185	156.4417	157.0735	157.6338	364.6934	713.9831	317.6215	200.86	323.1058	238.1119	378.0992	362.173	167.735	387.1912	220.7358	268.9286	147.6418	128.9456	394.8882	252.4038	281	358.5714	94.4798	231.9703	157.3365	590.5512	374.5283	130.1498	405.2953	445.3125	330.0213	275.1592	463.0128	90.9091	330.1887	172.5941	452.5358	191.602	215.4362	160.7818	306.2186	208.7629	210.2928	140.8046	137.7928	133.312	240.1656	165.6504	193.7417	128.5425	118.4834	237.8174	201.6722	176.1778	151.0319	215.057	172.3096	395.5375	400.5682	130.2219	324.0223	199.2263	257.2899	221.9595	324.6575	209.6623	191.0467	331.7881	424.4318	485.5876	130.3922	308.2606	699.4302	277.1214	624.7265	442.6559	156.6731	618.9667	313.8462	211.239	69.4444	197.9236	134.0782	565.3168	169.7749	319.0184
UDP-N-acetylglucosamine	106.4151	73.9183	108.8874	39.7418	146.2951	66.9975	53.6424	208.9695	117.2199	106.9945	53.6082	45.03	136.0985	158.604	60.1578	130.3403	54.6482	63.2595	108.8257	126.3158	90.7372	140.0818	124.8266	115.9947	34.8837	165.2542	132.7049	81.0811	60.1127	57.6923	87.8099	100.6036	144.2308	94.6034	132.4415	86.7857	52.2898	34.2512	59.4249	66.9643	144	67.1429	95.5414	52.4164	67.1774	101.7565	169.8113	113.2959	47.8615	97.6562	70.2626	147.1338	235.037	129.2929	75.4717	108.7866	224.3173	127.0289	48.3221	120.1135	33.9196	72.4871	146.4064	133.1418	112.8237	140.0256	64.1822	24.3902	41.9441	94.1296	88.8626	112.2169	116.388	53.7492	113.5084	22.4955	78.8996	164.3002	101.3258	65.6005	129.4227	94.7776	212.2642	162.1622	105.8219	198.4053	40.6683	107.2848	131.25	339.2461	78.4314	165.2116	115.3846	217.5081	184.9015	89.5372	88.0077	257.9878	78.4615	83.2769	85.1852	120.5626	152.7002	52.9066	72.3473	141.1043
