Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
LEUCINE (M+H)+	29291524	9418135	5714255	16668682	17081794	19377816	26706780	19082340	22468548	32974384	18905788	16774914	13855525	17637488	14934086	21833532	19103736	18944366	20228960	29335500	20549616	15893527	14646472	17127828	21720436	15016695	19759332	14197315	21065596	40901328	70504296	75641112	62129308	66635260	62398000	61427424	74325536	71523824	81038272	73072208	63673296	58572668	62435648	60885744	61358320	73093296	66971736	64202728	78360720	88815200	73960832	27439310	25805464	65155760	61081308	72610064	70821024	67369440	78420528	71767632
L-HISTIDINE (M+H)+	42815	35475	64118	30799	60281	11274	32967	37739		18053	41466	32230	21060	48732	26009	19888	19251	36913	51624	27782	37766		18645	54313	53229	21227		37957	40276	29866																														
L-HISTIDINE (M+Na)+	11446	6324	10730	8165	9922	4442	6078	8189	8876	8462	9557	6599	8943	6351	5683	7166	6861	8537	4411	3855	8539	6885	5061	6536	11330	5932	5967	7356	8881	8611			8112		6912	6588	8387	11519	7309	5003	4617	7633	8063		7143			5907		6064		7939	1210	3853		4617		5174		5976
L-TRYPTOPHAN-15N2 [ISTD] (M+H)+	22325076	25058982	24904968	21261246	22350070	24180522	21409598	22332576	22872116	23041034	25074774	24337702	24312384	20938616	22760634	22679032	23183682	24063758	23983852	24743428	22889588	23412004	24930096	25023976	22119418	24737980	23628184		20182496	26375000	8957557	10172379	10271787	9600136	9568471	9564922	9713308	10307233	10541733	9808060	8690105	9566310	9330879	9381538	9784149	10113266	9299355	10041438	10300932	9795021	9232331	10151203	8983507	10702168	10348557	9931249	10268415	10511555	10075035	8923962
LYSINE (M+H)+	49293	51088	108512	56096	52209	80130	63820	60253	54375	107567	67427	62760	117632	58312	60377	57500	85072	63181	45179	130584	38276	45774	105603	55578	49551	62659	66881	39924	57208	101759	36631	44969	44443	42686	33831	35381	36417	36266	39962	42751	36105	32152	37838	36494	33586	32418	31863	27837	41237	45361	34976	41686	37683	39056	32478	33308	31553	26982	41535	43323
LYSINE (M+Na)+																															11641	14636	11581	12240		11842	10418	10741	11690	13325	10505	9120	11355	11991	10158	9758	9373	8569	11765	14621	10936	12356	11600	11690	9145	10170	9651	8068	10736	13162
METHIONINE (M+H)+	2039442	812813	1284815	1436412	1270187	1518035	1817624	1678071	1507461	1922317	1344047	1257819	1143850	1314554		1530505	1475789	1458301	1349296	1669642	1603899		1194862	1390123	1382849	1132627	1643878	1336440	1286586	2383896																														
METHYL BETA-D-GALACTOSIDE (M+Na)+																																4174	21301	8324	10762	4291		11885	31940			7943	8049		27495	4513	7238	17034	7661	7714			9044	13981	17470	4487	4851	14410	8706	8991
N6_N6_N6-TRIMETHYL-L-LYSINE (M+H)+																															8445	8675	4406	8844	11784	6397	7610	14696	8610	5644	8042	5289	7506	9625	9903	7918	7780	13669	10753	11695	12066	8487	7177	11032	7677	6768	9612	10788	10919	7284
N-ACETYL-DL-SERINE (M+H)+																																							5403	4472								15546	7920										4514	
N-ACETYL-DL-SERINE (M+H)+[-H2O]	278366			288516	442869	312381	502304	697366	574329	367450	485427		699576		221285	564890		327717	583523		117394	229616	651186	673000	94290	211519	446374		229221																															
N-ACETYL-D-TRYPTOPHAN (M+H)+																															11192	11155	6372394		10328		13430	6770	8153	6074550	5943671	6322022	2413		7611	5088	8065		5425	13894	5878	9991		7824	5708489	7122	7461	9898	7227	5044836
N-ACETYL-D-TRYPTOPHAN (M+Na)+																																1601	2441289					2431	1088	2274634	2264926	2198683							2029	1160		1243			2041661					1814696
NAD (M+H)+	66691	51929	47630	30817	69692	102264	172822	62097	23545	100138	104266	81966	10110	122267	85945	276939	129602	162311	65270	45108	47780	19747	20220	51423	178828	110471	14579	103135	77546	44069																														
N-ALPHA-ACETYL-L-LYSINE (M+H)+	9448	13743	10289		6707	9293	6208	9680	9773	8648	12568	7771	9817	9138		5742	9018		9291	15620	9521	12010	9945	11554	12535		11006	7312	8196	5776																														
NAPROXEN (M+H)+			6209																														692423							17554	14307	13111										1816881			14571					9838
N-CYCLOHEXYLFORMAMIDE (M+H)+	218295	194460	144996	257253	403921	63432	292462	49021	135034	585539		375402	164010	26203	351463	42102	303990	418085	45698	110134	133121	207864	79327	69937	233518	461017	109311	90955	265586	127384																														
NICOTINAMIDE (M+H)+	15554041	4340010	8104084	8702017	10176548	13026926	15705971	11631047	12050320	16711706	8881959	10249723	12057296	9921383	7610437	10711403	10535492	10598515	11651182	15629669	11198815	7673741	12280637	9473086	10419069	10081773	13242328	7246899	8543238	20252988																														
NORADRENALINE (M+H)+[-H2O]		3428	4303		3734	10261	8330		3654		8753	2944	4358		2847	8314	6888		6298	7203	1711	4122	7185	3370	7722	5074	2773	6466	3393																															
OCTANOYLCARNITINE (*) (M+H)+																															65832	159501	183147	35127	337847	114183	306382	250198	336885	167824	128539	287628	187970	110451	319682	155532	164462	330756	323023	185542	129280	201724	92305	164742	330479	205943	277525	428732	262121	185127
OCTENOYLCARNITINE (*) M+	464496	53315	130235	118496	105662	94625	208384	190560	154648	209646	331999	193184	304335	110169	111105	93512	114854	211838	178431	152644	203933	105857	135512	92267	226361	42770	96292	84843	152307	192534	56752	270934	133293	47428	88838	68716	163054	360829	187804	49903	28968	110168	79643	59567	103949	67681	73832	121621	220179	85157	59921	62426	80694	95157	117835	58677	116970	214676	118594	84165
OLEAMIDE (M+H)+	138264	138039	77592	45190	41279	84693	186575	194317	83250	39961	71488	63303	58028	54652	70026	189732	62837	77179	94341	170309	66303	147057	59607	76509	65114	65923	66475		46449		97939	81446	157086	118304	76669	89443	66637	100190	92206	106307	104415	245614	96862	80396	80560	120248	116491	105125	111981	98955	80803	126373	65681	107366	105292	100399	77911	92741	84792	95052
OLEAMIDE (M+Na)+	83904						133644	284208								243629				136710		161737																																						
OLEIC ACID (M+Na)+																															4054	13568	4099		5874	4937		8924	29177	17161		7434	8702	8067	20025	26240		13757		7489	14070			13282					23634	
OLEOYL-GLYCEROL (M+H)+	9943	24738	15719	6537	7344	15377	8222	12137	8155	8944	20077	37138	23716	27156	11437	6080	4524	23915	16942	20311	15152	16096	17180	14034	13117		16834	93311	4432	43047	30299	26886	23759	37588	37473	22633	44938	26950	21153	30103	33756	26674	30229	19572	35355	31961	69041	20136	20151	36113	24137	33601	22779	20361	49176	36589	40630	21785	20675	21388
OLEOYL-GLYCEROL (M+Na)+	58750	242932	470429	138136	87403	364858	54911	177117	114476	97641	226091	596060	536184	329819	49656	153594	72525	210946	269462	140824	306794	210094	329386	302927	285201	143386	295819	2455300	39997	687553	449243	629903	413898	23326	1135774	448378	934836	533284	470249	742968	573518	572155	550981	376789	1326631	696219	769573	507060	424367	738316	578584	596743	28441	477095	1795411	671084	727484	490356	417772	530044
OPHTHALMIC ACID (M+H)+	240170	55673	69725	65630	81305	152798	447259	77189	60461	170337	176640	65002	105130	65725	45736	115592	170581	142689	103105	123725	102414	74457	65273	48369	89113	52032	161185	92438	87560	153568																														
ORNITHINE (M+H)+																															12808	20718	9578	13201		11291	11218	9268	15619	14157	10972	13415	12260	13934	7954	7550	9412	9169	16236	17647	12390	19582	14580	13047	7541	9296	9736	9169	11548	15022
PANTOTHENIC ACID (M+H)+	3633560	281459	330597	737943	814283	900176	1654966	1549195	11518964	1500610	1024139	942751	678036	887696	858706	1479625	1653739	4005295	974779	1351482	942133	464257	556540	710243	1936040	726873	1140276	1876077	750318	2293510	248403	124493	117230	142132	149792	85765	189107	125254	98480	141259	135048	101407	59827	107586	171565	109919	174991	211374	89382	173075	137820	115266	81312	116906	177921	120037	190620	203054	105652	162213
PANTOTHENIC ACID (M+Na)+																															108403	35991	45374	51574	56551	12799	51705	51094	35507	61362	49823	30930	24643	36720	66687	40483	59981	68394	44595	80440	55567	40048	33951	38710	67706	41174	59514	77065	35416	60355
PHENYLALANINE (M+H)+	351811	613655	327653	409567	280235	307246	466498	420922	312534	488763	276871	272589	177784	340574	327639	319501	288241	400378	299483	322753	422529	421904	294606	404097	281177	332595	314659	143084	444088	100925		93665	109853	74038	56247	1133739	68757	113120	124682	48821	1167452	127737	1213717	55688	125314	1476796	1224469	85583	71893	113889	69144	91222	1295275	70285	79411	1444744	122663	98899	1253952	35702
PHOSPHOCREATINE (M+H)+		262194	143627	71785	149533	154145	828416	321527	100821	370918	205000	8417		99242	290509	409505	286459	326462	210799	289694	20925	17535		96045	452079	44686	96584	102466	226010	56782																														
PROLINE (M+H)+	2291615	1882323	1607455	1857328	1389611	1920667	2499666	1372711	1938421	3296152	2158594	2148748	1768709	2008087	1063577	949005	1674827	1448340	2008164	3258703	2408384	2211914	2410583	1710103	1198019	1003027	1838269	1582365	1776939	3264752																														
PROPIONYLCARNITINE (*) (M+H)+	1756129	269098	483169	846473	487973	732941	1056936	1169253	932619	1452357	657920	696684	628150	565381	468440	886902	1182752	1177002	982321	1559855	577354	665874	867727	696153	1648156	458365	939444	482702	1201069	2149155		285248	266576		416975	141092	115049	505861	193363	222419	56158	226758	36279	144172	417873	293511	260038	535964	655662	254621	8910	234098	122254	126468	423744	360245	442669	467200	460790	143573
PYRIDOXAL (M+H)+[-H2O]																															1739136	2651903	1881782	1565727	1652654	1346650	1695932	1935771	1958726	1686561	1696100	1680926	2123623	1441453	1660093	1676539	1329495	1643133	1946133	1753898	1833120	2204741	1942119	1328738	1580147	1457547	1599219	1644244	2036268	1600029
S-ADENOSYL-L-HOMOCYSTEINE (M+H)+	2246	6951	11214	8301					4013		3938	12788		9670		10311		10096				13601	28905	14740		9296	7412		3794	5443																														
SN-GLYCERO-3-PHOSPHOCHOLINE (M+H)+	287048	1644567		1422552	1369543	785841	857739	938389	867853	712248	1243748	1704528		1461698	1140356		2686065	1079490	2676420	639456	1077691	1250927		1421905	1671928	126528	1572520	419770	888245	3871908																														
SUBERIC ACID (M+Na)+	40104	9228	23507	40167	34794	29779	18778	14012	20684	35961	23713	57355	32307	37557	33836	19410	38748	27660	28862	38191	51550	25777	26344	27472	38956	18548	8459	24405	60998	18723																														
TETRADECENOYLCARNITINE (*) M+	731631	204121	730467	575862	958183	1191153	1084047	1151450	320584	2673653	392170	2244708	976178	1854950	1024276	1807949	1211167	2439037	606819	1292186	426355	378877	1214875	1170139	2274099	905302	1140858	1233179	655533	1907637																														
THEOBROMINE (M+H)+						46613		133474		146996	26009					48462		54791	41014	66351					56468						190183	530305	151646	87444	577922	555631	67638	1748362	67513	801303	311906	288134		96105	495655	468568	166905	484276		590310	338173	331087	93247	94595	338825	245893		1759701	143576	109468
THYROXINE (M+H)+																															56990	68259	119857	75750	94258	56882	77470	86694	75626	76387	56853	59886	69564	61455	95470	71229	66105	59086	65371	84582	64936	68647	71527	84816	102852	69157	76806	67101	72820	62695
TRIMETHYLAMINE (M+H)+	31300	18121	23113	17816	20938	24515	23978	7605	16427	30489	26652	26360	25615	21683	25534	28392	26776	27848	29500	17860	24955	24448	22523	25178	30529	12237	19799	18058	25994	7136																														
TRYPTOPHAN (M+H)+																															29214504	29465234	24395144	23870124	25173370	21336504	30293352	29062704	28811052	29105818	27366172	20270138	18741874	20069748	22726020	24778852	24529032	26282356	25504864	34045404	30161156	25921362	23616490	25935052	23909348	25379470	28809896	28015896	27472392	26379772
TRYPTOPHAN (M+Na)+																															234564	190761	171182	184638	151083	128672	187166	211972	192734	175289	192514	126323	132442	139818	146277	171202	169190	172769	191798	211283	213536	172375	146883	170664	162029	155552	199610	211651	174657	155079
TYROSINE (M+H)+	2361446	1100848	1818644	1535813	720276	1772710	2048210	1623174	1722826	2879844	1471577	1215124	1652942	1530506	1232645	1858008	1661381	1880697	1568350	2401950	1525369	1862793	1828304	1589014	1692390	1314508	1680089	1769056	1718257	3584276	8000678	16186154	11264291	8593169	7403942	7670950	9018724	9630267	10392853	10149599	7841961	9733320	9589983	8075284	6562236	10040011	7369541	9825402	9456912	12852362	9029658	15254057	11674659	7813375	7506036	10018818	8952981	11689175	10371560	8609862
URIC ACID (M+H)+																															1334283	1387010	1114816	1266853	1510439	953838	1873545	1049965	1644672	1755346	895426	1328754	994532	1145987	1441977	978315	1516382	986415	1487527	1901210	1470095	1932538	933590	1331012	2048389	1059979	1741052	1052581	1549590	1589805
URIDINE (M+Na)+																																1376		8827	14619	3580		28370					11414	6600	14165	18312	12806		16354	33009			9876	17361		29156		29611		15376
VALINE (M+H)+	3193412	1065256	1799943	2097566	1993921	2486361	3133005	1891943	2333526	4078283	2146028	2039500	1780798	2038888	1833830	2533853	2366152	2010376	2187104	3817369	2363117	1892579	1866818	1955051	2637698	1795716	2359598	1664237	2394233	5192694	5143751	5115045	4637977	4606517	4317791	4754956	4678474	4608149	5174062	5328870	4911240	4506178	4501807	4368672	4316652	6617360	5328282	4387357	5364487	7114069	5439150	5146000	4275888	4705776	4284972	5181359	4697998	4559505	5345922	5133728
ZEATIN [ISTD] (M+H)+	2565031	2660794	2692448	2197216	2346820	2667593	2558234	2625814	2674726	2660310	2666243	2575421	2549835	2186974	2539030	2501774	2518347	2515613	2691816	2712418	2453615	2607199	2612372	2664168	2583334	2622321	2578692	2588791	2570120	2985973	888830	1101431	1052323	1016078	955501	886924	951409	942130	971643	895276	945455	1019666	970973	1014263	946984	982340	874685	957504	915880	980867	1054051	1090334	1010952	1042429	967636	1052370	930612	937011	967374	869854
																																																												


