Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
5^-METHYLTHIOADENOSINE (M+H)+	80112	37943	57058	54615	60366	60142	101357	87956	62393	70048	62331	69639	100227	63654	70672	83339	111591	106486	48238	104943	41584	39330	42640	57176	93713	65928	72016	48074	44773	69264	59427	95611	67694	66105	58264	52285	114976		66040	70672	57993	57366	60687	70434	56748		88390	60579	65810	95970		76964	60209	103118	66131	72177		66574	66499	63627
ACETYLCARNITINE (M+H)+	21981272	4303210	7511560	12269959	14650994	9148208	13270493	12926222	14672631	20310400	11234780	20747816	9235093	18776648	14787084	15810039	11462921	23016976	18655580	11444805	11097120	9078241	12266614	12798206	23472532	6039130	11988996	6776443	19012090	17785292																														
ADIPIC ACID (M+Na)+		15721	26495	29785			72870				21867	27243	13767	20950	36438			11844		63737	27064		22784	62762		10358		42034	60609	30391																														
ALPHA-TOCOPHEROL (M+H)+																															46831	74660	26422	34154	19671	34432	74818	18942	111867	142470	69650	35531	33536	67767	34895	72278	35617	72855	70993	131820	79779	46932	64444	108624	41428	56597	25162	83682	87293	106222
AZELAIC ACID (M+H)+[-H2O]																															3906	15521	18269	40224	18970	8967	26122	30777	17041	27164	21809	8001	17542	17222	5073	25262	8776	7868	18876	29821	29213	26911	36120	19119	3853	22552	17382	24114	18069	26345
AZELAIC ACID (M+Na)+	300902	83591	101436	125627	134297	104154	81167	60871	94811	127611	118577	232017	121173	149717	125390	71527	171639	114010	111330	154339	163844	112417	116694	108927	153778	75778	84312		262641	68778																														
BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+H)+	8020	11281	14559	11390	13061	6495	12695	3651	12128	11446	13440	7012	13772	9487		11822	7884	6291	11567	10891	15684	13228	13854	9003	10134	6076	14137	9249	10215	7540																														
BILIVERDIN (M+H)+																															531039	268890	277187	326193	664029	290427	369380	365655	192683	114807	267764	280577	289942	294985	248603	539473	314011	126358	190713	128351	291433	348934	100611	355745	257979	356247	387621	144636	117079	106334
BIS(2-ETHYLHEXYL)PHTHALIC ACID (M+Na)+	106929	688643	704605	980625	157454	1557100	81221	797503	117592	45202	1037123	459509	924786	317236		613754	211871	739888	1453751	50612	621515	247878	383032	857614	468147	897820	909233	1544086	46372	519999	1651272	2039091	2131608	3208013	1265809	1467321	3363711	1486384	569726	3631687	2626583	1978498	2602324	1603445	1806275	1747025	2663487	1797297	1681499	1980406	2139885	2119486	1584853	1650374	2555284	861532	1482694	1754557	2389070	2489110
CAFFEINE (M+H)+																															1690985	2594989			2119211	165358	79921	2592518		240418	1180563	727610	61260	164861	2399174	113473	149639	1362047		353676	1655280	88302	149064	29151	2758415	165443	41457	2731918	42270	
