metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
CREATINE (M+H)+				38090824	40769644	36455928				25907672	38507736	27705178				34768752	43553600	39974044				37506656	39668272	36801228				31240752	33674024	37578024				46081452	47095736	43187936				48179928	40500288	37123176				37757980	42765884	39387988				34664800	38363496	34134776				38943184	41556792	
HISTAMINE (M+Na)+					1301	3184				3980	4632	16038				3314	4570					5654	6226	7156				3293						4601	6980						1764	3918					2739					10837	7649	2684				5855	5173	9494
3-DEHYDROXYCARNITINE (M+H)+				955685	1086582	1084889				831704	858149	774272				752182	725844	742982				708519	648949	658831				672529	531653	567173				899779	738814	694990				970857	723425	698149				564189	565554	623064				848574	753185	660793				1031264	1159279	1089687
N-ACETYL-DL-SERINE (M+H)+																																												15546					5403	7920	4514				4472					
HISTAMINE (M+H)+				126614	89532	149464				123690	280862	480687				141103	218203	336205				217192	319117	267728				132846	200345	118530				271492	289012	185174				177313	154927	165655				103120	107365	76535				306142	295642	216327				252622	279607	351136
N-ALPHA-ACETYL-L-LYSINE (M+H)+				9448	12568	9521				13743	7771	12010				10289	9817	9945					9138	11554				6707		12535				9293	5742					6208	9018	11006				9680		7312				9773	9291	8196				8648	15620	5776
18:0 LYSO-PE (M+Na)+				33391	51186	60672					142187	55655				64171	92794	67467				65319	118402	105326				76339	39287	111531				120574	131605	95255				43059	66018	88546				65135	158896					37320	88288	40407				41727	40158	125702
NORADRENALINE (M+H)+[-H2O]					8753	1711				3428	2944	4122				4303	4358	7185						3370				3734	2847	7722				10261	8314	5074				8330	6888	2773						6466				3654	6298	3393					7203	
TRIMETHYLAMINE (M+H)+				31300	26652	24955				18121	26360	24448				23113	25615	22523				17816	21683	25178				20938	25534	30529				24515	28392	12237				23978	26776	19799				7605	27848	18058				16427	29500	25994				30489	17860	7136
GUANOSINE (M+H)+											11376						17729	21589				4548	5976	2475				26724	3512	9558					11110					6491	1825	19177										15381		2764				17238	28960	19869
BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+H)+				8020	13440	15684				11281	7012	13228				14559	13772	13854				11390	9487	9003				13061		10134				6495	11822	6076				12695	7884	14137				3651	6291	9249				12128	11567	10215				11446	10891	7540
5'-METHYLTHIOADENOSINE (M+H)+	59427	57993		80112	62331	41584	95611	57366	76964	37943	69639	39330	67694	60687	60209	57058	100227	42640	66105	70434	103118	54615	63654	57176	58264	56748	66131	60366	70672	93713	52285		72177	60142	83339	65928	114976	88390		101357	111591	72016		60579	66574	87956	106486	48074	66040	65810	66499	62393	48238	44773	70672	95970	63627	70048	104943	69264
OPHTHALMIC ACID (M+H)+				240170	176640	102414				55673	65002	74457				69725	105130	65273				65630	65725	48369				81305	45736	89113				152798	115592	52032				447259	170581	161185				77189	142689	92438				60461	103105	87560				170337	123725	153568
GLUTATHIONE OXIDIZED (M+H2)+2				2324992	1671510	1431406				2165289	2496755	2120988				2650672	3279535	1986130				2321161	4533306	1724005				2158629	3301922	5629915				1366000	4076901	1654799				5240854	4264373	1032404				1782957	4887066	2613722				1994976	2006321	2237727				3882427	2213409	2707795
5-AMINOPENTANOIC ACID (M+H)+				1894476	1632224	1642419				832439	1444051	1413641				1330433	973737	1249442				1561104	1388148	1758626				1338088	1254932	1273870				1417644	1384262	1237690				1695925	1454403	1679822				1331351	1107825	1429576				1524768	1486755	1668634				2076800	2216466	1163861
18:0 LYSO-PE (M+H)+				215520	123477	174566				129413	377692	140778				200698	246926	183926				202504	303690	236764				245611	185463	449361				342990	407881	273160				258203	265062	238489				213321	455515	899446				176179	259515	257088				226473	155698	436363
CARNOSINE (M+H)+				151650	388026	389210				248777	130147	266344				135628	292559	163921				264139	202473	222431				353844	419647	217260				135526	158789	54386				300965	182350	451590				145872	113187	280027				288102	296566	126031				290305	208367	151943
CITRULLINE (M+Na)+				2619	7447	5307				2561						13228	4150	4860					1931	2613						2732				3377	4699	6556				6355	2589	7273					1448						4390					3347	2961	
GUANINE (M+H)+				6066		67270				2737	6147	42098				2740	35316	3489						21901				50574	5625	4598				51241	72175	37428				76971	64337	64984				22307	18042	37075				8727	7979	7997					70118	105136
PHOSPHOCREATINE (M+H)+					205000	20925				262194	8417	17535				143627						71785	99242	96045				149533	290509	452079				154145	409505	44686				828416	286459	96584				321527	326462	102466				100821	210799	226010				370918	289694	56782
EICOSADIENOYLCARNITINE (*) (M+H)+				28439						16391	70942	38006				25085	40546	51212						2821				35869	18604	91656				100883		75965					61754	63427				90016								24928				81972		115871
CAFFEINE (M+H)+	1690985	1180563	1655280				2594989	727610	88302					61260	149064					164861	29151				2119211	2399174	2758415				165358	113473	165443				79921	149639	41457				2592518	1362047	2731918						42270				240418	353676				
N6,N6,N6-TRIMETHYL-L-LYSINE (M+H)+	8445	8042	12066				8675	5289	8487				4406	7506	7177				8844	9625	11032				11784	9903	7677				6397	7918	6768				7610	7780	9612				14696	13669	10788				8610	10753	10919				5644	11695	7284			
5ALPHA-ANDROSTANE-3ALPHA,17BETA-DIOL (M+Na)+				15239	19155	17314				18049	16212	18845				19881	21085	17296				14273	14322	21592				16470	16791	15876				18771	17110	15492				17976	17283	18176				18380						20661	17570	17822				19227	18652	16690
3',5'-CYCLIC AMP (M+H)+				8653	14097	9587				7586	18913	7108				10488	20216	18149				18806	19088	14207				9519	9689	11460				29633	28380	21539				37595	24659	9567				32290	45547	27155				9496	28870	7344				20357	20346	27243

metabolite_name	moverz_quant	ri	ri_type	pubchem_id	inchi_key	kegg_id	other_id	other_id_type
ISO-BUTYRYLCARNITINE (*) (M+H)+	231.1475	2.912	Time, min	168379
DESMOSTEROL (M+H)+[-H2O]	384.339	24.234	Time, min	439577
VALINE (M+H)+	117.0789	0.91	Time, min	6287
CORTISOL (M+H)+	362.2071	13.734	Time, min	5754
LEUCINE (M+H)+	131.0948	1.52	Time, min	6106
INOSINE 5'-PHOSPHATE (M+H)+	348.047	0.992	Time, min	8582
ISOVALERYLCARNITINE (*) (M+H)+	245.1629	4.583	Time, min	169235
CARNOSINE (M+Na)+	226.1035	0.632	Time, min	439224
OCTENOYLCARNITINE (*) M+	286.2027	9.587	Time, min	71464472
DEHYDROEPIANDROSTERONE SULFATE M+[-HSO4]	368.1642	14.937	Time, min	12594
THYROXINE (M+H)+	776.6859	16.22	Time, min	5819
METHYL BETA-D-GALACTOSIDE (M+Na)+	194.0793	0.714	Time, min	94214
INOSINE 5'-PHOSPHATE (M+Na)+	348.0468	0.986	Time, min	8582
GLUCOSE (M+Na)+	180.0624	0.664	Time, min	5793
OCTANOYLCARNITINE (*) (M+H)+	287.2109	11.761	Time, min	123701
URIDINE (M+Na)+	244.0676	1.358	Time, min	6029
CITRIC ACID (M+Na)+	192.0254	1.033	Time, min	311
URIC ACID (M+H)+	168.0269	1.047	Time, min	1175
1-METHYLADENOSINE (M+H)+	281.1143	2.99	Time, min	27476
CHOLESTEROL (M+H)+[-H2O]	386.3551	24.542	Time, min	5997
16:0 LYSO PC (M+H)+	495.3327	22.252	Time, min	460602
AZELAIC ACID (M+Na)+	188.1067	10.654	Time, min	2266
ZEATIN [ISTD] (M+H)+	219.113	3.881	Time, min	449093
CORTISONE (M+H)+	360.191	13.325	Time, min	222786
THEOBROMINE (M+H)+	180.0656	3.481	Time, min	5429
EICOSANOYLCARNITINE (*) (M+H)+	455.3973	22.067	Time, min	53477833
L-ARGININE (M+Na)+	174.1084	0.642	Time, min	6322
KYNURENINE (M+H)+	208.0808	2.204	Time, min	161166
BIS(2-ETHYLHEXYL)PHTHALIC ACID (M+Na)+	390.278	23.106	Time, min	8343
OLEIC ACID (M+Na)+	282.2568	22.536	Time, min	445639
FLUCYTOSINE (M+H)+	129.0349	0.652	Time, min	3366
DEHYDROEPIANDROSTERONE (M+H)+	288.2067	17.265	Time, min	5881
PANTOTHENIC ACID (M+H)+	219.1114	3.202	Time, min	6613
NAPROXEN (M+H)+	230.0945	15.701	Time, min	156391
DODECENOYLCARNITINE (*) II M+	342.2637	16.723	Time, min	53481671
CORTISOL (M+Na)+	362.2047	13.739	Time, min	5754
NICOTINAMIDE (M+H)+	122.0479	1.103	Time, min	936
TYROSINE (M+H)+	181.0738	1.348	Time, min	6057
IBUPROFEN CARBOXYLIC ACID (M+Na)+	236.1055	12.898	Time, min	10444113
OLEAMIDE (M+H)+	281.2709	22.622	Time, min	5283387
BILIVERDIN (M+H)+	582.248	18.613	Time, min	5280353
ADIPIC ACID (M+Na)+	146.0585	3.483	Time, min	196
DIPALMITOYL-GLYCEROL (M+Na)+	568.5075	26.06	Time, min	644078
TETRADECENOYLCARNITINE (*) M+	370.2964	18.839	Time, min	22833575
SN-GLYCERO-3-PHOSPHOCHOLINE (M+H)+	257.1025	0.681	Time, min	439285
ORNITHINE (M+H)+	132.0901	0.561	Time, min	6262
TRYPTOPHAN (M+Na)+	204.087	3.587	Time, min	6305
PROLINE (M+H)+	115.0629	0.711	Time, min	145742
LYSINE (M+Na)+	146.1046	0.576	Time, min	5962
DIPALMITOYL-GLYCEROL (M+H)+[-H2O]	568.5064	26.061	Time, min	644078
S-ADENOSYL-L-HOMOCYSTEINE (M+H)+	384.1237	1.551	Time, min	439155
OLEOYL-GLYCEROL (M+H)+	356.2903	22.675	Time, min	5319879
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID (M+H)+	101.0473	0.978	Time, min	535
L-TRYPTOPHAN-15N2 [ISTD] (M+H)+	206.0847	3.606	Time, min	16217285
N-CYCLOHEXYLFORMAMIDE (M+H)+	127.1006	7.811	Time, min	13017
TRYPTOPHAN (M+H)+	204.0867	3.587	Time, min	6305
GLYCEROL MYRISTATE (M+Na)+	302.2448	22.145	Time, min	79050
PROPIONYLCARNITINE (*) (M+H)+	217.1316	1.673	Time, min	107738
INOSINE (M+Na)+	268.0813	1.734	Time, min	6021
CORTISONE (M+Na)+	360.1987	13.327	Time, min	222786
HIPPURIC ACID (M+H)+	179.0588	4.731	Time, min	464
CORTICOSTERONE (M+Na)+	346.2162	15.316	Time, min	5753
LYSINE (M+H)+	146.1055	0.562	Time, min	5962
SUBERIC ACID (M+Na)+	174.0915	8.162	Time, min	10457
DECANOIC ACID (2M+Na)+	172.1465	22.812	Time, min	2969
N-ACETYL-DL-SERINE (M+H)+[-H2O]	147.0534	0.827	Time, min	65249
ALPHA-TOCOPHEROL (M+H)+	430.3794	24.474	Time, min	14985
PYRIDOXAL (M+H)+[-H2O]	167.0608	1.012	Time, min	1050
AZELAIC ACID (M+H)+[-H2O]	188.1052	10.656	Time, min	2266
METHIONINE (M+H)+	149.0506	1.012	Time, min	6137
OLEOYL-GLYCEROL (M+Na)+	356.2933	22.713	Time, min	5319879
NAD (M+H)+	663.1081	1.03	Time, min	5893
KYNURENIC ACID (M+H)+	189.0444	4.913	Time, min	3845
GLYCOCHOLIC ACID (M+H)+	465.3093	18.8	Time, min	10140
3-METHOXYTYROSINE (M+H)+	211.0843	2.005	Time, min	9307
HEXANOYLCARNITINE (*) M+	260.1885	7.06	Time, min	3246939
3-HYDROXYLAUROYLCARNITINE (*) (M+H)+	359.2677	15.999	Time, min	71464535
INDOLE-3-ACETIC ACID (M+H)+	175.0642	8.332	Time, min	802
ACETYLCARNITINE (M+H)+	203.1151	0.978	Time, min	18230
HYPOXANTHINE (M+H)+	136.0385	1.021	Time, min	790
L-ARGININE (M+H)+	174.1106	0.632	Time, min	6322
16:0 LYSO PC (M+Na)+	495.3334	22.266	Time, min	460602
PANTOTHENIC ACID (M+Na)+	219.1114	3.202	Time, min	6613
N-ACETYL-D-TRYPTOPHAN (M+H)+	246.0984	7.895	Time, min	439917
PHENYLALANINE (M+H)+	165.079	2.528	Time, min	6140
CARNITINE (M+H)+	161.104	0.681	Time, min	10917
L-HISTIDINE (M+H)+	155.068	0.625	Time, min	6274
L-HISTIDINE (M+Na)+	155.0685	0.627	Time, min	6274
N-ACETYL-D-TRYPTOPHAN (M+Na)+	246.103	7.902	Time, min	439917
3-METHYLHISTAMINE (M+H)+	125.0941	0.564	Time, min	69520
OLEAMIDE (M+Na)+	281.2724	22.623	Time, min	5283387
CREATINE (M+H)+	131.0688	0.696	Time, min	586
HISTAMINE (M+Na)+	111.0796	0.573	Time, min	774
3-DEHYDROXYCARNITINE (M+H)+	145.1089	0.7	Time, min	725
N-ACETYL-DL-SERINE (M+H)+	147.0557	0.775	Time, min	65249
HISTAMINE (M+H)+	111.0799	0.555	Time, min	774
N-ALPHA-ACETYL-L-LYSINE (M+H)+	188.1179	0.721	Time, min	92907
18:0 LYSO-PE (M+Na)+	481.3249	22.69	Time, min	9547068
NORADRENALINE (M+H)+[-H2O]	169.0728	0.669	Time, min	951
TRIMETHYLAMINE (M+H)+	59.0732	0.717	Time, min	1146
GUANOSINE (M+H)+	283.0927	1.833	Time, min	6802
BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+H)+	240.119	0.632	Time, min	112072
5'-METHYLTHIOADENOSINE (M+H)+	297.0902	4.463	Time, min	439176
OPHTHALMIC ACID (M+H)+	289.1262	1.208	Time, min	7018721
GLUTATHIONE OXIDIZED (M+H2)+2	612.1534	1.356	Time, min	65359
5-AMINOPENTANOIC ACID (M+H)+	117.0783	0.736	Time, min	138
18:0 LYSO-PE (M+H)+	481.3214	22.689	Time, min	9547068
CARNOSINE (M+H)+	226.1044	0.634	Time, min	439224
CITRULLINE (M+Na)+	175.0962	0.63	Time, min	9750
GUANINE (M+H)+	151.0489	0.916	Time, min	764
PHOSPHOCREATINE (M+H)+	211.0352	0.881	Time, min	9548602
EICOSADIENOYLCARNITINE (*) (M+H)+	451.3592	21.461	Time, min	71464509
CAFFEINE (M+H)+	194.0819	5.838	Time, min	2519
N6,N6,N6-TRIMETHYL-L-LYSINE (M+H)+	188.1523	0.651	Time, min	440120
5ALPHA-ANDROSTANE-3ALPHA,17BETA-DIOL (M+Na)+	292.2412	19.418	Time, min	15818
3',5'-CYCLIC AMP (M+H)+	329.0537	1.921	Time, min	6076
