metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
CHOLESTEROL (M+H)+[-H2O]	91818	144959	243870	528305	431173	433879	414825	112591	207286	434942	335516	679699	49733	82599	101578	522224	385215	460855	58109	106639	200567	435869	418771	478324	59015	63943	75753	448733	578289	224939	79076	132557	181775	327966	306227	372683	148195	60919	170074	503066	351275	466122	115936	137329	158914	355532	279254	398534	192907	141401	213611	608020	403622	786589	237058	166702	134313	538592	573594	333676
16:0 LYSO PC (M+H)+	4916283	3087109	3080103	365475	103317	115875	2714395	3228202	4298494	71930	188036	276045	5782490	4076558	3425751	170427	130014	195965	6497611	3280775	3253319	142006	135308	97763	2612262	2408396	2798868	201512	340158	587164	3205206	3750892	4427921	234543	228470	142019	4527801	5842452	5468834	419173	360949	173084	4577627	3735615	3823216	265009	465052		3696261	3774198	3652187	192988	149687	288481	3176410	4039214	3009013	383078	243113	398187
AZELAIC ACID (M+Na)+				300902	118577	163844				83591	232017	112417				101436	121173	116694				125627	149717	108927				134297	125390	153778				104154	71527	75778				81167	171639	84312				60871	114010					94811	111330	262641				127611	154339	68778
ZEATIN [ISTD] (M+H)+	888830	945455	1054051	2565031	2666243	2453615	1101431	1019666	1090334	2660794	2575421	2607199	1052323	970973	1010952	2692448	2549835	2612372	1016078	1014263	1042429	2197216	2186974	2664168	955501	946984	967636	2346820	2539030	2583334	886924	982340	1052370	2667593	2501774	2622321	951409	874685	930612	2558234	2518347	2578692	942130	957504	937011	2625814	2515613	2588791	971643	915880	967374	2674726	2691816	2570120	895276	980867	869854	2660310	2712418	2985973
CORTISONE (M+H)+	46188	38029	28483				46948	42039	45419				55632	29195	37433				43201	25428	40959				63996	61174	54949				49025	56171	49237				64276	61349	67605				45940	40826	49042				62975	59415	50680				50510	58006	47949			
THEOBROMINE (M+H)+	190183	311906	338173		26009		530305	288134	331087				151646		93247				87444	96105	94595				577922	495655	338825			56468	555631	468568	245893	46613	48462		67638	166905					1748362	484276	1759701	133474	54791		67513		143576		41014		801303	590310	109468	146996	66351	
EICOSANOYLCARNITINE (*) (M+H)+				24614	54257	36583					90846					33263		47607				39922	65444	96691						80304				216988	123151	73039				123844	77817	95265				135256	111226	65217				47265	193795	50800				76598		58526
L-ARGININE (M+Na)+	16602	19198	21368				23932	14356	20740				20129	24719	19088				17943	22203	23185				22144	24851	23491				29065	22977	27959				19824	17664	27117				28417	21099	22289				29340	25439	28727				17974	25768	20445			
KYNURENINE (M+H)+	849994	985235	976593		61209	66528	1752495	1420544	1613944	58293	144426		1083724	842058	1006567	80465			1287539	1132166	1666836	120230	146717		893604	806505	875458		72685	130698	572887	657385	701444	75506		65019	1109304	914333	1047496				891433	800128	848085		152441	69693	1041277	993940	974378	83236		106996	1105264	1230475	1030799	181597	149408	251699
BIS(2-ETHYLHEXYL)PHTHALIC ACID (M+Na)+	1651272	2626583	2139885	106929	1037123	621515	2039091	1978498	2119486	688643	459509	247878	2131608	2602324	1584853	704605	924786	383032	3208013	1603445	1650374	980625	317236	857614	1265809	1806275	2555284	157454		468147	1467321	1747025	861532	1557100	613754	897820	3363711	2663487	1482694	81221	211871	909233	1486384	1797297	1754557	797503	739888	1544086	569726	1681499	2389070	117592	1453751	46372	3631687	1980406	2489110	45202	50612	519999
OLEIC ACID (M+Na)+	4054		14070				13568	7434					4099	8702						8067	13282				5874	20025					4937	26240											8924	13757					29177		23634				17161	7489				
FLUCYTOSINE (M+H)+				317510	629841	267514					741381	363654				548428	829092	738598				587293	270604	373655				401220	506682	298104				772795	471234	202749				484077	603585	419885				285556	537861					509958	371862	432210					451926	
DEHYDROEPIANDROSTERONE (M+H)+	25555	19550	27461																																		19167	18187	19121										19905	17524	20897				8478	11851	8172			
PANTOTHENIC ACID (M+H)+	248403	135048	137820	3633560	1024139	942133	124493	101407	115266	281459	942751	464257	117230	59827	81312	330597	678036	556540	142132	107586	116906	737943	887696	710243	149792	171565	177921	814283	858706	1936040	85765	109919	120037	900176	1479625	726873	189107	174991	190620	1654966	1653739	1140276	125254	211374	203054	1549195	4005295	1876077	98480	89382	105652	11518964	974779	750318	141259	173075	162213	1500610	1351482	2293510
NAPROXEN (M+H)+		14307						13111	1816881				692423			6209											14571																												17554		9838			
