analyte	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
STEARIC ACID (M-H)-	5084158	4444078	4612426	997516	639441	744207	3561043	1579450	748746	968542	712648	669844	1056451	5224498	3916894	735883	673221	569673	684372	4387706	1551157	664769	459375	553704	2021739	1506400	1916151	619750	547445	346635	2304428	4650324	3181901	622767	527575	539125	2538047	5336417	3165758	375897	541628	219323	2812540	1499610	2107173	444217	536958	453179	2357468	2792804	2621780	610403	827473	470986	985417	3126179	2211742	493635	1151319	853012
BILIVERDIN (M-H)-	22942	12949	8514					10912	10770				8623	12147	5969				6258	9376	8138				20650	7548	7670				10061	16193	13243				10703	9985	10728				11172	4369	4229				5509	5519					3823	3187	2857			
HEPTADECANOIC ACID (M-H)-	129346	128277	111536	36053	23785	34255	112570	46353	38913	31381	25833	28336	53651	195155	143392	34930	34505	29440	22288	136079	46212	32468	25396	26618	79298	59127	70289	28335	31116	20478	57501	107967	116444	34068	22321	26698	111199	218663	135484	23552	29972	15049	132690	78502	105675	25313	26593	23386	90285	104619	88004	30359	32541	31690	44819	96066	82522	27896	36503	27723
INOSINE 5'-PHOSPHATE (M-H)-				178799	221378	442027				405910	403270	270324				428407	498911	186303				250497	435418	264911				607969	391034	364501				435076	282326	281471				485654	477640	428733				585334	387355	209096				435921	286913	255136				95394	629737	126148
CORTISONE (M+Cl)-	59386	47520	24448	11012	4867	8544	39277	54406	45488	4177	9629	6810	48117	37027	57727	6765	7372	9897	42501	27384	27490	6831	10446	6375	60182	55251	44118	6080	4939	10159	51033	48380	50372	8110	12641	5825	55993	58993	52015	2985	10730	3230	38703	37395	39476	5287	9439	4379	50192	47850	41466	9200	8532	10771	40299	47583	44065	13147	8624	10951
LIGNOCERIC ACID (M-H)-	2578	2820	3684	4419	4336	3362	3333	2849	2567	7038	2659	5255	1836	2827	2147	10448	2631	4277	1728	3025	3693	3899	2834	4174	2835	1980	2102	2387	4123	2176	3343	3396	3714	2547	2268	2420	4353	4511	4013	2737	3984	1771	2926	3128	3962	1728	1387	2570	3580	3556	4111	3305	3335	7335	2223	4040	3034	2034	3545	2028
TRICOSANOIC ACID (M-H)-				3261	3026	4945				4995	3047	2024				7080	2302	3175				2927	2611	2478				2387	2470	2321				6460	1873	2962				1449	2610					2151	1702	1823				3462	2757	4590				2365	3511	1747
HYODEOXYCHOLIC ACID (M-H)-	386938	246909	351114				98036	1827203	434983				604344	169757	171515				1294774	211969	149106				922486	318469	712418				407360	366073	173055				104507	268551	207361				167255	784657	671139				711846	46539	716350				420382	705233	91975			
4-PYRIDOXIC ACID (M-H)-	100094	71537	48675				51254	53365	69547				46933	39089	82696				159402	124718	118349				68757	68520	55904				33229	39875	68306				98991	100336	86419				54382	103305	103324				74620	79851	78899				72553	133393	118646			
NERVONIC ACID (M-H)-	60630	47878	32958	11291	6126	10175	35165	34648	18225	4900	12354	7379	24288	47057	48828	7576	7595	15302	14746	65668	37598	8046	6425	6702	25978	22129	29268	5987	3104	4799	27025	28096	28071	14145	4738	6313	33826	63310	38106	1749	6309	2067	32494	36151	42712	7389	6146	4377	31762	30823	32051	5954	8177	2992	23006	38232	40791	10152	15283	10804
4-HYDROXYBENZOIC ACID (M-H)-		35344		83067	35635	3638	4782	41620		64331	70172	100957	37398			242108	3531	3316				80692	57982	47709		2669	13944	38051	146419	196684		5755		28211	76397	50034				24950	55000	14640				208456	159212	131550				182069	148418	114128	11600		14919	142853	68430	68353
