Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
SUBERIC ACID (M-H)-	11820	6782	9183	10961	12857	8582		5033	7834	8812	9398	17886	8716	13433	12691	4780	14868	8774	11035	15730	18586	9046	11941	10048	13196	6771	1551	9439	19483	8010																														
SUCCINIC ACID (M-H)-	492184	70653	536153	939227	354739	1730861	200624	668358	758044	792960	173020	2090499	418452	1291063	297954	1182517	596928	1688510	1851735	450860	748776	689680	1472324	581628	870958	1824822	51774	951173	1395361	754712	44714	34138	30237	33889	40233	47842	77198	72543	35096	18526	24670	39870	68224	28007	40609	60432	47496	29437	45548	30285	76459	49760	41732	49998	37061	103700	64928	36556	48359	28957
THEOPHYLLINE (M-H)-	7577	1905			6930			15611		6362	8462	8318			2658			9154			6770				15859			8347			33053	51916			32620	8112		54728		17252	44695	27546	4977	11608	34393	5214		29041		23156	39142		10063		30955	9834		65855	8859	
THYMINE-D4(METHYL-D3_6-D1) [ISTD] (M-H)-		849020	852315	784902	754202		205249		792686	712840	997648	808246		812467	799053	785865	792454		852168	724758	903708	859703	771839	842987		860288	220471	857547	823968	687393																														
TRANS-ACONITIC ACID (M-H)-			41050	21151	34583	72912	32083	35942	54106	42289		29945	69295	39479	38879	55587	79299	100365	97244	48766	29687	23041	25572	22502	60259	50226		43570	52877	43587	483272	369821	457058	493312	574450	534669	542237	364901	438172	587525	440878	464035	694549	484784	603688	402143	631050	626661	298517	524913	455413	528645	581329	381298	406156	414869	444115	443939	313901	309662
TRANS-VACCENIC ACID (M-H)-	899015	522267	581276	445730	420246	431268	166695	334889	451735	858923	271105	623362	647597	298349	408835	223922	286515	284892	240890	1455159	515912	551747	817764	279166	322672	211223	162108	181534	252413	1332816	12544607	9837126	9411129	2831746	9694555	6915131	8965087	13346139	7992682	6890245	13104267	9893890	10747840	13383745	9051168	10490019	5760907	10720756	9717626	10939486	10194983	3823097	13680651	7815125	11922591	8983869	9782497	14533480	7866707	9658997
TRICARBALLYLIC ACID (M-H)-[-H2O]	373130	60801	22915	43584	174408	109779	17038	587615	235714	181408	55621	12748	155598	38827	238414	17530	161519	212558	23314	27692	56224	16355	84210	173453	358984	40463	40273	148047	116143	620906																														
TRICOSANOIC ACID (M-H)-	3261	4995	7080	2927	2387	6460	1449	2151	3462	2365	3026	3047	2302	2611	2470	1873	2610	1702	2757	3511	4945	2024	3175	2478	2321	2962		1823	4590	1747																														
TRYPTOPHAN (M-H)-																															2319558	1433320	1321526	1145098	1439945	1240198	1627368	1604729	1516337	1563909	1973053	1370326	1267984	1221150	1154810	1262004	1119345	1373718	1451156	1817013	1583595	1443842	1714776	1237508	1266544	1482069	1473319	1510291	1452033	1615944
TYROSINE (M-H)-	5136	3131	5087	3377			3282	2344	3939	5319	3092	5274		2872	3886	4656	4069	5620	4176	7215	5014		3332	3778	4716	2799	2756	2693	5222	5798	22286	35499	18315	15576	16322	19482	16223	16366	18616	15780	17321	18692	36788	17387	12000	19197	11576	18317	18242	30146	15306	34302	32260	14248	10804	20024	15893	20864	21497	20602
URIC ACID (M-H)-	3322	6179		7102	25593	55895	2428	2982	5156	29106		49956	18117	4105			40697	70123	33415	161198	66548	1561	14317		2426	36182	3949		4363	92887	416195	310655	245191	392787	342679	328855	460925	652289	170790	470904	435271	381108	465718	345024	362105	335057	346193	298379	366907	338881	329998	350689	79104	365250	580209	175054	448846	321264	616079	555399
URIDINE (M+Cl)-	312967	169141	296767	183195	431245	114237	84044	175456	434681	365707	177191	186509	323329	167086	85550	223337	127933	109260	131626	441579	234522	140281	243293	172621	178991	51981	164043	64265	243869	363813	1418683	602583	768896	406365	686880	746787	1101377	873426	883393	778750	1112740	917543	793760	581786	520371	1000893	793604	663101	944637	948727	973303	796050	791821	515290	776618	762845	983310	780871	966337	1300363
URIDINE (M-H)-		12435	26933	15306	39571		6844	22811	45166	44103	17333	18073	27814		9287	20848	14946	11331	12797	51061		14341	21361	13959	17623	4615	21962	3501	22004	32415	53860	24087	59805	19495	28933	33119	76009	31934	33191	25061	78980	62874	35960	31182	50337	37951	55692	27798	37475	33984	38969	35316	33615	20812	49590	58734	36635	30408	34284	44084
URSODIOL (M+HCOO)-																															21834	6516	23610	12818	25223	57836	33662	39344	7841	6561	16617	2616	145289	34484	17304	2748	18958	84720	32569	106020	12953	4594	97945	13962	2898	8484	16568	19749	4243	13671
ZEATIN [ISTD] (M+Cl)-	273056	218254	261490	252567	275459	225187	44082	260661	271931	289054	268066	273072	226733	273074	239094	273247	265681	271202	281095	277313	275319	235137	244768	254890	277034	236833	41472	235141	265689	269207	45400	81825	64175	45244	94245	74514	87334	83268	75639	75588	52814	38010	28313	63776	91653	85673	73465	80982	80496	86153	69414	63049	44095	78280	85153	76818	86012	81362	79460	77619
																																																												


