metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
5'-METHYLTHIOADENOSINE (M+Cl)-				4287	3849	2841				2239	4549	1930				3234	4895	2464				3477	5475	3099				5301	4873	6523				3109	5688	4091					8007					5840	6908	2555				4884	3417	3163				4955	4959	3876
DEOXYURIDINE (M+Cl)-	67680	61018	40660				39027	39692	26606				38888	47216	52910				32414	37695	37457				45858	34651	40807				47949	49582	52858				42040	40130	38418				49860	38226	56035				49917	53758	58888				45164	55607	58354			
GLUTATHIONE (OXIDIZED) (M-H)-				75717	36614	66148				61639	104229	66573				86509	120902	82266				110119	182268	56075				96198	93031	229356				69769	152731	55175					178863					99199	185275	92556				68000	87353	76392				127517	63938	102843
FUMARIC ACID (2M-H)-				59876		34650				4346	55727	31934					39877	11068				47693	38227	54108				40072	42742	16226				50023	63387	82752				28495	77300	10126				50547	68031	59056				57226	76377	67724				36483	50255	
MALEIC ACID (M-H)-				164622		101858				108561	336426	277434					152588	115865				398465	209473	467506				148799	399693	163345				219029	310711	211572				211139	316505	123768				130530	302525	360820				498866	287316	196768				160868	268804	143449
3-DEHYDROSHIKIMIC ACID (M-H)-																	82092	2518																50465						25412	174615	17337				138197	185066	87029						11780						54099
NAD (M-H)-				1781	2287	1973				2966	3932					1510						1402	4930	1870				2991	3901	7505				2913	10681	5948				4659	5155					2480	7592	4171					2817	3650				3435		
MALIC ACID (M-H)+[-H2O]				271098	136153	195405					314202					349903		243997				235999	278838	206621				223862		287784				272422	290989	265055				214708	275756	79618					304425	224680					404862	565319				321403	237903	224733
FUMARIC ACID (M-H)-				387031	139827	204280				108565	415398	277330				265608	306777	233227				398510	323860	467944				384068	396816	346362				256978	343470	354918				210983	373846	123987				421025	480235	470052				499429	465347	338620				284146	450928	322489
CREATINE (M-H)-				6182	40407	43280				33700	9546	35433				25866	23234	41762				34172	5361	33765				6139	26285	26896				11434	24941	48698				70804	18389	64020				25985	22755	43872				6007	4603	27873				21881	25140	24866
PHOSPHOCREATINE (M-H)-										8810																			3856											12461																				
CIS-7,10,13,16-DOCOSATETRAENOIC ACID (M+HCOO)-				6841	2679	5200				11995	5728	4726				5957	7733	6908				3843	1736	3267				4230	4716	1253				6684	1834	3463					2830					4353	2916	3171				4404	3101	2376				4965	8395	7218
THYMINE-D4(METHYL-D3,6-D1) [ISTD] (M-H)-					997648	903708				849020	808246	859703				852315		771839				784902	812467	842987				754202	799053						785865	860288				205249	792454	220471						857547				792686	852168	823968				712840	724758	687393
2,4-DIHYDROXYPTERIDINE (M-H)-													1405						18634	7986	19645				34118	33595	34967				32799	23363	26715				20556						4289						21874	3009	1946				1428		14973			

metabolite_name	moverz_quant	ri	ri_type	pubchem_id	inchi_key	kegg_id	other_id	other_id_type
ARACHIDONIC ACID (M-H)-	304.2405	22.709	Time, min	444899
SUBERIC ACID (M-H)-	174.0884	8.145	Time, min	10457
PHYTANIC ACID (M-H)-	312.3019	23.257	Time, min	10380830
2-HYDROXY-3-METHYLBUTYRIC ACID (M-H)-	118.0627	3.41	Time, min	853180
THEOPHYLLINE (M-H)-	180.0631	4.4	Time, min	2153
PANTOTHENIC ACID (M+Cl)-	219.1105	3.196	Time, min	6613
CIS-11-EICOSENOIC ACID (M-H)-	310.287	23.252	Time, min	5282768
18:0 LYSO-PE (M-H)-	481.3176	22.687	Time, min	9547068
PHENYLALANINE (M-H)-	165.0785	2.486	Time, min	6140
ERUCIC ACID (M-H)-	338.3185	23.646	Time, min	5281116
CITRAMALIC ACID (M-H)-	148.0366	1.383	Time, min	441696
MYRISTIC ACID (M-H)-	228.2088	22.453	Time, min	11005
TYROSINE (M-H)-	181.0718	1.357	Time, min	6057
BENZOIC ACID (M-H)-	122.0366	4.906	Time, min	243
ADIPIC ACID (M-H)-	146.0582	3.578	Time, min	196
HIPPURIC ACID (M-H)-	179.0581	4.718	Time, min	464
STEARIC ACID (M-H)-	284.272	23.18	Time, min	5281
BILIVERDIN (M-H)-	582.253	18.594	Time, min	5280353
HEPTADECANOIC ACID (M-H)-	270.2556	23.011	Time, min	10465
INOSINE 5'-PHOSPHATE (M-H)-	348.0475	0.987	Time, min	8582
CORTISONE (M+Cl)-	360.1921	13.305	Time, min	222786
LIGNOCERIC ACID (M-H)-	368.3652	24.704	Time, min	11197
TRICOSANOIC ACID (M-H)-	354.3494	24.356	Time, min	17085
HYODEOXYCHOLIC ACID (M-H)-	392.2958	22.9	Time, min	5283820
4-PYRIDOXIC ACID (M-H)-	183.053	1.832	Time, min	6723
NERVONIC ACID (M-H)-	366.3488	24.133	Time, min	5281120
4-HYDROXYBENZOIC ACID (M-H)-	138.0315	4.068	Time, min	135
DEHYDROASCORBIC ACID (M-H)-	174.0161	0.787	Time, min	440667
5-OXOPROLINE (M-H)-	129.0424	1.164	Time, min	7405
CITRIC ACID (M-H)-	192.0269	1.018	Time, min	311
SUCCINIC ACID (M-H)-	118.0266	1.302	Time, min	1110
URIDINE (M-H)-	244.0692	1.37	Time, min	6029
ARACHIDIC ACID (M-H)-	312.3028	23.575	Time, min	10467
TRANS-ACONITIC ACID (M-H)-	174.0166	1.125	Time, min	444212
L-TRYPTOPHAN-15N2 [ISTD] (M-H)-	206.0838	3.607	Time, min	16217285
TRYPTOPHAN (M-H)-	204.0865	3.599	Time, min	6305
DOCOSAHEXAENOIC ACID (M-H)-	328.2404	22.696	Time, min	445580
16:0 LYSO PC (M+HCOO)-	495.3323	22.251	Time, min	460602
INOSINE (M+Cl)-	268.0808	1.82	Time, min	6021
INOSINE (M-H)-	268.0808	1.82	Time, min	6021
GLYCERIC ACID (M-H)-	106.0266	0.75	Time, min	439194
TRANS-VACCENIC ACID (M-H)-	282.2565	22.93	Time, min	5281127
ALPHA-LINOLENIC ACID (M+HCOO)-	278.2222	22.852	Time, min	5280934
AZELAIC ACID (M-H)-	188.1046	10.635	Time, min	2266
4-NITROPHENOL (M-H)-	139.0267	6.991	Time, min	980
CORTICOSTERONE (M+Cl)-	346.2104	15.328	Time, min	5753
LAURIC ACID (M-H)-	200.1771	21.741	Time, min	3893
N-ACETYL-L-ALANINE (M-H)-	131.0588	1.493	Time, min	88064
PALMITIC ACID (M-H)-	256.2406	22.852	Time, min	985
RETINOIC ACID (M-H)-	300.2105	22.269	Time, min	444795
METHYLMALONIC ACID (M-H)-	118.0267	1.489	Time, min	487
EPIBRASSINOLIDE [ISTD] (M+HCOO)-	480.3463	19.759	Time, min	3239
MANDELIC ACID #2 (M-H)-	152.0475	8.648	Time, min	11914
ZEATIN [ISTD] (M+Cl)-	219.112	3.875	Time, min	449093
URIC ACID (M-H)-	168.0274	1.041	Time, min	1175
MALIC ACID (M-H)-	134.0217	0.751	Time, min	222656
PALMITOLEIC ACID (M-H)-	254.2246	22.591	Time, min	445638
L-[15N]ANTHRANILIC ACID [ISTD] (M-H)-	138.0446	5.287	Time, min	227
GLUCOSE (M+Cl)-	180.0643	0.691	Time, min	5793
OLEOYL-GLYCEROL (M+HCOO)-	356.2926	22.658	Time, min	5319879
TRICARBALLYLIC ACID (M-H)-[-H2O]	176.0319	1.349	Time, min	14925
PANTOTHENIC ACID (M-H)-	219.1106	3.197	Time, min	6613
LINOLEIC ACID (M-H)-	280.2407	22.723	Time, min	5280450
IBUPROFEN CARBOXYLIC ACID (M-H)-	236.1064	12.927	Time, min	10444113
URSODIOL (M+HCOO)-	392.2918	21.566	Time, min	31401
URIDINE (M+Cl)-	244.0697	1.37	Time, min	6029
ALPHA-HYDROXYISOBUTYRIC ACID (M-H)-	104.0474	1.713	Time, min	11671
MYRISTOLEIC ACID (M-H)-	226.1932	22.075	Time, min	5281119
SALICYLATE #2 (M-H)-	138.0316	8.134	Time, min	338
CORTISOL (M+Cl)-	362.2083	13.721	Time, min	5754
CORTISOL (M+HCOO)-	362.2086	13.722	Time, min	5754
BEHENIC ACID (M-H)-	340.3331	24.062	Time, min	8215
CHOLIC ACID (M-H)-	408.2847	20.259	Time, min	221493
2-DEOXY-D-GLUCOSE (M+Cl)-	164.0686	0.736	Time, min	439268
IBUPROFEN (M-H)-	206.1304	18.812	Time, min	114864
PHTHALIC ACID (M-H)-	166.0256	4.722	Time, min	1017
PYRUVIC ACID (M-H)-	88.0163	0.742	Time, min	1060
3-HYDROXY-3-METHYLGLUTARIC ACID (M-H)-	162.0516	1.58	Time, min	1662
ISOCITRIC ACID (M-H)-	192.0269	0.748	Time, min	5318532
3-(4-HYDROXYPHENYL)LACTIC ACID (M-H)-	182.0578	3.755	Time, min	440177
OXALOACETIC ACID (M-H)-[-H2O]	132.0034	0.566	Time, min	970
GLUCONIC ACID (M-H)-	196.0571	0.765	Time, min	10690
3-METHYLXANTHINE (M-H)-	166.0494	2.436	Time, min	70639
CARNOSINE (M-H)-	226.1065	0.629	Time, min	439224
ALPHA-KETO-GLUTARIC ACID (M-H)-	146.0215	0.91	Time, min	51
2-OXOADIPIC ACID (M-H)-	160.0368	1.332	Time, min	71
5'-METHYLTHIOADENOSINE (M+Cl)-	297.0889	4.458	Time, min	439176
DEOXYURIDINE (M+Cl)-	228.0723	1.686	Time, min	13712
GLUTATHIONE (OXIDIZED) (M-H)-	612.1519	1.361	Time, min	65359
FUMARIC ACID (2M-H)-	116.0108	1.25	Time, min	444972
MALEIC ACID (M-H)-	116.0111	1.098	Time, min	444266
3-DEHYDROSHIKIMIC ACID (M-H)-	172.0355	1.022	Time, min	439774
NAD (M-H)-	663.1092	1.034	Time, min	5893
MALIC ACID (M-H)+[-H2O]	134.0229	0.75	Time, min	222656
FUMARIC ACID (M-H)-	116.0111	1.25	Time, min	444972
CREATINE (M-H)-	131.069	0.701	Time, min	586
PHOSPHOCREATINE (M-H)-	211.036	0.835	Time, min	9548602
CIS-7,10,13,16-DOCOSATETRAENOIC ACID (M+HCOO)-	332.2735	23.254	Time, min	5497181
THYMINE-D4(METHYL-D3,6-D1) [ISTD] (M-H)-	130.0678	1.681	Time, min	16213347
2,4-DIHYDROXYPTERIDINE (M-H)-	164.032	1.55	Time, min	10250
