MNXM103	cholesterol	MNXM103_b;MNXM103_c;MNXM103_e;MNXM103_g;MNXM103_l;MNXM103_m;MNXM103_r	C27H46O	386.6535	0	chebi:13982;chebi:16113;chebi:23204;chebi:3659;chebi:41564;bigg:M_chsterol;bigg:chsterol;deprecated:MNXM16679;deprecated:MNXM89605;hmdb:HMDB00067;hmdb:HMDB00507;hmdb:HMDB62453;kegg:C00187;kegg:D00040;lipidmaps:LMST01010001;metacyc:CHOLESTEROL;reactome:163586;reactome:171095;reactome:171149;reactome:174672;reactome:176478;reactome:193156;reactome:193384;reactome:193840;reactome:216762;reactome:8848047;sabiork:1964;seed:cpd00160;slm:000000287
MNXM1034	3-hydroxy-2-methylpropanoyl-CoA	MNXM1034_m	C25H38N7O18P3S	849.594	-4	chebi:11806;chebi:1517;chebi:15481;chebi:20036;chebi:57340;deprecated:MNXM90193;deprecated:MNXM91961;kegg:C04047;lipidmaps:LMFA07050206;metacyc:3-HYDROXY-ISOBUTYRYL-COA;reactome:71847;sabiork:7041;seed:cpd02503
MNXM10347	5adtststerones	MNXM10347_b;MNXM10347_c;MNXM10347_e	C19H29O5S		-1	bigg:5adtststerones;bigg:M_5adtststerones
MNXM1037	5-guanidino-2-oxopentanoate	MNXM1037_x	C6H11N3O3	173.1698	0	chebi:12129;chebi:1249;chebi:18253;chebi:19740;chebi:20572;chebi:2060;chebi:28116;chebi:58489;bigg:5g2oxpt;bigg:M_5g2oxpt;deprecated:MNXM14333;hmdb:HMDB04225;hmdb:HMDB06815;kegg:C03771;metacyc:CPD-824;sabiork:6844;seed:cpd02364;seed:cpd03528
MNXM103856	cis,cis-tetradeca-5,8-dienoyl-CoA	MNXM103856_m;MNXM103856_x	C35H54N7O17P3S	969.828	-4	chebi:70713;lipidmaps:LMFA07050296
MNXM1043	decanoate	MNXM1043_b;MNXM1043_c;MNXM1043_e;MNXM1043_r	C10H19O2	171.2572	-1	chebi:125804;chebi:23570;chebi:23572;chebi:27689;chebi:30813;chebi:41906;chebi:4347;hmdb:HMDB00511;kegg:C01571;lipidmaps:LMFA01010010;metacyc:CPD-3617;sabiork:2296;seed:cpd01107;slm:000000855
MNXM10441	Eaflatoxin	MNXM10441_b;MNXM10441_c;MNXM10441_e	C17H12O7		0	bigg:M_eaflatoxin;bigg:eaflatoxin
MNXM10471	Decanedioyl-CoA	MNXM10471_c;MNXM10471_x	C31H47N7O19P3S	946.729	-5	chebi:76316;chebi:76345;bigg:M_sebcoa;bigg:sebcoa;seed:cpd16607
MNXM1051	S-(hydroxymethyl)glutathione	MNXM1051_c	C11H18N3O7S	336.342	-1	chebi:22052;chebi:34963;chebi:40619;chebi:48926;chebi:58758;bigg:M_hmgth;bigg:hmgth;deprecated:MNXM114366;deprecated:MNXM81305;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/fee99d5c-735f-4808-89ec-dbadb58f766c;hmdb:HMDB04662;kegg:C14180;metacyc:S-HYDROXYMETHYLGLUTATHIONE;reactome:5692221;sabiork:20730;seed:cpd09879;seed:cpd15487
MNXM1055	(24S)-hydroxycholesterol	MNXM1055_r	C27H46O2	402.6529	0	chebi:34310;deprecated:MNXM90018;kegg:C13550;lipidmaps:LMST01010019;metacyc:CPD-7239;reactome:192060;reactome:193717;sabiork:28534;seed:cpd09461;slm:000389790
MNXM105527	heptadecanoyl-CoA	MNXM105527_c;MNXM105527_m	C38H64N7O17P3S	1015.94	-4	chebi:74307;chebi:74397;deprecated:MNXM56120;hmdb:HMDB06497;lipidmaps:LMFA07050325;metacyc:CPD-14723;slm:000000632
MNXM105630	sulfite	MNXM105630_c;MNXM105630_m	O3S	80.064	-2	chebi:13367;chebi:15139;chebi:17137;chebi:17359;chebi:26837;chebi:29214;chebi:33543;chebi:45548;chebi:48854;chebi:5598;chebi:9344;bigg:M_so3;bigg:so3;deprecated:MNXM109100;deprecated:MNXM81;deprecated:MNXM83053;deprecated:MNXM89975;envipath:32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/2bf998e0-031f-4353-bbd0-d9c0af36460e;envipath:4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/0382072e-fc0c-41a7-be8d-fce140ecf836;hmdb:HMDB00240;hmdb:HMDB01033;hmdb:HMDB03008;hmdb:HMDB34829;kegg:C00094;kegg:C11481;metacyc:H2SO3;metacyc:HSO3;metacyc:SO3;sabiork:3059;seed:cpd00081
