BOUNDARY	model boundary	BOUNDARY
MNXC11	endoplasmic reticulum	r
MNXC13	peroxisome	x
MNXC15	Golgi apparatus	g
MNXC17	lysosome	l
MNXC2	extracellular region	e
MNXC3	cytoplasm	c
MNXC4	mitochondrion	m
MNXC5	mitochondrial membrane	i
MNXC6	nucleus	n
